,EXAONE-Tabular (default),RealTabPFN-2.5 (T+E),TabFM (default),TabPFN-2.6 (default),TabPFN-3 (default),TabICLv2 (default),LimiX (default),RealMLP (T+E),CatBoost (T+E),TabM (T+E),LightGBM (T+E),TabDPT (T+E),xRFM (T+E),TabDPT-Turbo (default),XGBoost (T+E),SAP-RPT-OSS (default),EBM (T+E),ChimeraBoost (T+E),ModernNCA (T+E),ExtraTrees (T+E),iLTM (T+E),RandomForest (T+E),BetaTabPFN (default),TorchMLP (T+E),TabSwift (default),FastaiMLP (T+E),KNN (T+E),TabSTAR (T+E),OrionMSP (default),Linear (T+E),PerpetualBooster (T+E),TabFlex (default)
LightGBM (T+E),0.125,0.125,0.125,0.125,0.25,0.125,0.375,0.375,0.625,0.5,,0.5,0.5,0.75,0.5,0.625,0.75,0.75,0.5,0.625,0.625,0.625,0.875,0.875,0.875,0.75,0.75,0.875,1.0,1.0,1.0,1.0
TabDPT (T+E),0.25,0.25,0.125,0.25,0.25,0.25,0.5,0.5,0.25,0.375,0.5,,0.5,0.375,0.625,0.5,0.625,0.625,0.625,0.5,0.75,0.625,0.75,0.75,0.625,0.75,0.875,0.875,1.0,0.875,0.875,1.0
xRFM (T+E),0.125,0.125,0.125,0.125,0.25,0.375,0.25,0.375,0.375,0.5,0.5,0.5,,0.625,0.5,0.375,0.5,0.75,0.625,0.625,0.5,0.625,0.625,0.625,0.75,0.625,1.0,0.875,1.0,1.0,1.0,1.0
TabDPT-Turbo (default),0.125,0.125,0.125,0.125,0.125,0.125,0.375,0.5,0.5,0.375,0.25,0.625,0.375,,0.625,0.5,0.5,0.375,0.625,0.625,0.75,0.625,0.5,0.75,1.0,0.625,0.875,0.75,1.0,0.875,0.875,1.0
XGBoost (T+E),0.0,0.0,0.125,0.0,0.125,0.25,0.25,0.125,0.25,0.375,0.5,0.375,0.5,0.375,,0.5,0.625,0.625,0.75,0.625,0.75,0.5,0.625,0.75,0.75,0.625,0.75,1.0,1.0,1.0,1.0,1.0
SAP-RPT-OSS (default),0.125,0.0,0.125,0.25,0.375,0.5,0.375,0.375,0.5,0.375,0.375,0.5,0.625,0.5,0.5,,0.375,0.5,0.5,0.5,0.5,0.5,0.625,0.625,0.5,0.625,0.625,0.75,0.625,0.875,0.875,0.875
EBM (T+E),0.0,0.125,0.125,0.25,0.25,0.375,0.25,0.25,0.375,0.125,0.25,0.375,0.5,0.5,0.375,0.625,,0.375,0.5,0.625,0.5,0.625,0.5,0.5,0.625,0.625,0.75,0.875,0.75,1.0,1.0,1.0
ChimeraBoost (T+E),0.125,0.0,0.25,0.125,0.125,0.25,0.25,0.125,0.375,0.375,0.25,0.375,0.25,0.625,0.375,0.5,0.625,,0.5,0.5,0.625,0.5,0.5,0.75,0.625,0.5,0.625,0.875,1.0,1.0,0.875,1.0
ModernNCA (T+E),0.0,0.0,0.125,0.0,0.0,0.125,0.25,0.25,0.125,0.375,0.5,0.375,0.375,0.375,0.25,0.5,0.5,0.5,,0.75,0.5,0.625,0.625,0.625,0.625,0.75,0.875,0.875,1.0,1.0,1.0,1.0
ExtraTrees (T+E),0.125,0.125,0.125,0.125,0.125,0.25,0.125,0.5,0.25,0.5,0.375,0.5,0.375,0.375,0.375,0.5,0.375,0.5,0.25,,0.25,0.75,0.625,0.5,0.75,0.5,1.0,0.875,1.0,0.75,0.875,1.0
iLTM (T+E),0.0,0.0,0.125,0.0,0.0,0.125,0.375,0.25,0.25,0.5,0.375,0.25,0.5,0.25,0.25,0.5,0.5,0.375,0.5,0.75,,0.625,0.5,0.625,0.625,0.75,0.875,0.875,0.875,0.875,1.0,1.0
RandomForest (T+E),0.125,0.125,0.125,0.25,0.125,0.25,0.125,0.5,0.375,0.375,0.375,0.375,0.375,0.375,0.5,0.5,0.375,0.5,0.375,0.25,0.375,,0.5,0.5,0.625,0.5,0.875,0.875,0.875,0.75,0.875,0.875
BetaTabPFN (default),0.0,0.125,0.125,0.25,0.25,0.25,0.25,0.25,0.375,0.125,0.125,0.25,0.375,0.5,0.375,0.375,0.5,0.5,0.375,0.375,0.5,0.5,,0.625,0.5,0.625,0.75,0.75,0.875,1.0,1.0,1.0
TorchMLP (T+E),0.0,0.125,0.125,0.125,0.125,0.125,0.25,0.25,0.125,0.125,0.125,0.25,0.375,0.25,0.25,0.375,0.5,0.25,0.375,0.5,0.375,0.5,0.375,,0.5,0.625,0.75,0.875,0.75,0.875,0.875,1.0
TabSwift (default),0.0,0.0,0.125,0.0,0.125,0.125,0.25,0.25,0.125,0.375,0.125,0.375,0.25,0.0,0.25,0.5,0.375,0.375,0.375,0.25,0.375,0.375,0.5,0.5,,0.625,0.75,0.75,0.875,0.75,0.875,1.0
FastaiMLP (T+E),0.0,0.0,0.125,0.0,0.125,0.125,0.25,0.125,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.375,0.5,0.25,0.5,0.25,0.5,0.375,0.375,0.375,,0.625,0.75,0.625,0.875,0.75,1.0
KNN (T+E),0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.25,0.125,0.25,0.125,0.0,0.125,0.25,0.375,0.25,0.375,0.125,0.0,0.125,0.125,0.25,0.25,0.25,0.375,,0.375,0.375,0.375,0.75,0.625
TabSTAR (T+E),0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.25,0.0,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.25,0.125,0.25,0.25,0.625,,0.5,0.75,0.75,0.625
OrionMSP (default),0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.25,0.0,0.0,0.0,0.125,0.125,0.125,0.25,0.125,0.375,0.625,0.5,,0.625,0.75,0.75
Linear (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.25,0.125,0.25,0.0,0.125,0.25,0.125,0.625,0.25,0.375,,0.5,0.625
PerpetualBooster (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.25,0.25,0.25,0.25,0.5,,0.625
TabFlex (default),0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.375,0.375,0.25,0.375,0.375,
