question,expected_paper,expected_pages,notes
What is self-attention and why is it useful?,Attention Is All You Need,2,Should retrieve the self-attention explanation.
Why does multi-head attention help the Transformer?,Attention Is All You Need,5,Should retrieve the multi-head attention section.
How does the Transformer avoid recurrence?,Attention Is All You Need,2,Should retrieve introduction discussion about recurrence and attention.
What is masked language modeling in BERT?,BERT,4,Should retrieve the masked language model pre-training task.
What is next sentence prediction in BERT?,BERT,4,Should retrieve the next sentence prediction task.
Why is BERT bidirectional?,BERT,1,Should retrieve the explanation of deep bidirectional representations.
How does retrieval augmented generation use external knowledge?,Retrieval-Augmented Generation,"1,2",Should retrieve the explanation of retrieval-augmented generation.
What is the role of the retriever in RAG?,Retrieval-Augmented Generation,2,Should retrieve retriever or non-parametric memory discussion.
How does RAG combine retrieval and generation?,Retrieval-Augmented Generation,2,Should retrieve the RAG model formulation.
How does LoRA reduce the number of trainable parameters?,LoRA,"2,6",Should retrieve the low-rank adaptation explanation.
What parameters are trained in LoRA?,LoRA,5,Should retrieve trainable low-rank matrices explanation.
Why is LoRA useful for adapting large language models?,LoRA,"1,2",Should retrieve motivation around efficient adaptation.
Why does chain-of-thought prompting improve reasoning?,Chain-of-Thought Prompting,"1,9",Should retrieve reasoning improvement explanation.
What is chain-of-thought prompting?,Chain-of-Thought Prompting,1,Should retrieve the main definition.
How is chain-of-thought prompting different from standard prompting?,Chain-of-Thought Prompting,"1,2",Should retrieve comparison with standard prompting.
