date,ticker,timeframe,confidence,direction,matched_strategy,ml_prob,vix,nifty_ok,source,source_provider,source_model,entry_price,target_price_lo,target_price_hi,ret_1d,ret_3d,ret_5d,ret_for_tf,max_up_1d,min_down_1d,max_up_3d,min_down_3d,max_up_5d,min_down_5d,max_up_for_tf,min_down_for_tf,intraday_hit_for_tf,target_hit_for_tf
2026-06-16,HINDALCO.NS,1D,MEDIUM,BULLISH,,0.78,13.4,False,github:gpt-4o-mini,github,gpt-4o-mini,982.4,982.89,986.82,2.596,2.809,0.448,2.596,2.972,-1.14,3.563,-1.14,3.634,-1.14,2.972,-1.14,1,1
2026-06-16,HINDALCO.NS,3D,MEDIUM,NEUTRAL,,0.78,13.4,False,github:gpt-4o-mini,github,gpt-4o-mini,982.4,980.63,984.17,2.596,2.809,0.448,2.809,2.972,-1.14,3.563,-1.14,3.634,-1.14,3.563,-1.14,1,1
2026-06-16,HINDALCO.NS,5D,MEDIUM,NEUTRAL,,0.78,13.4,False,github:gpt-4o-mini,github,gpt-4o-mini,982.4,979.94,984.86,2.596,2.809,0.448,0.448,2.972,-1.14,3.563,-1.14,3.634,-1.14,3.634,-1.14,1,1
2026-06-16,IPCALAB.NS,1D,MEDIUM,NEUTRAL,,0.64,13.4,False,github:gpt-4o-mini,github,gpt-4o-mini,1550.2,1548.34,1552.06,-0.742,2.296,4.825,-0.742,0.548,-1.135,3.8,-1.303,5.883,-1.303,0.548,-1.135,1,1
2026-06-16,IPCALAB.NS,3D,MEDIUM,NEUTRAL,,0.64,13.4,False,github:gpt-4o-mini,github,gpt-4o-mini,1550.2,1547.41,1552.99,-0.742,2.296,4.825,2.296,0.548,-1.135,3.8,-1.303,5.883,-1.303,3.8,-1.303,1,1
2026-06-16,IPCALAB.NS,5D,MEDIUM,NEUTRAL,,0.64,13.4,False,github:gpt-4o-mini,github,gpt-4o-mini,1550.2,1546.32,1554.08,-0.742,2.296,4.825,4.825,0.548,-1.135,3.8,-1.303,5.883,-1.303,5.883,-1.303,0,0
2026-06-16,POLYCAB.NS,1D,HIGH,NEUTRAL,,0.75,13.4,False,github:gpt-4o-mini,github,gpt-4o-mini,9546.205,9534.75,9557.66,3.493,5.623,3.921,3.493,4.129,0.089,6.011,0.089,6.074,0.089,4.129,0.089,0,0
2026-06-16,POLYCAB.NS,3D,MEDIUM,NEUTRAL,,0.75,13.4,False,github:gpt-4o-mini,github,gpt-4o-mini,9546.205,9529.02,9563.39,3.493,5.623,3.921,5.623,4.129,0.089,6.011,0.089,6.074,0.089,6.011,0.089,0,0
2026-06-16,POLYCAB.NS,5D,MEDIUM,BULLISH,,0.75,13.4,False,github:gpt-4o-mini,github,gpt-4o-mini,9546.205,9548.11,9563.39,3.493,5.623,3.921,3.921,4.129,0.089,6.011,0.089,6.074,0.089,6.074,0.089,1,1
2026-06-16,DLF.NS,1D,MEDIUM,NEUTRAL,,0.65,13.4,False,github:gpt-4o-mini,github,gpt-4o-mini,629.3,628.54,630.06,-0.914,-0.763,-2.693,-0.914,0.707,-1.764,2.336,-1.764,2.336,-3.059,0.707,-1.764,1,1
2026-06-16,DLF.NS,3D,MEDIUM,NEUTRAL,,0.65,13.4,False,github:gpt-4o-mini,github,gpt-4o-mini,629.3,628.17,630.43,-0.914,-0.763,-2.693,-0.763,0.707,-1.764,2.336,-1.764,2.336,-3.059,2.336,-1.764,1,1
2026-06-16,DLF.NS,5D,MEDIUM,NEUTRAL,,0.65,13.4,False,github:gpt-4o-mini,github,gpt-4o-mini,629.3,627.73,630.87,-0.914,-0.763,-2.693,-2.693,0.707,-1.764,2.336,-1.764,2.336,-3.059,2.336,-3.059,1,1
2026-06-16,SHRIRAMFIN.NS,1D,MEDIUM,NEUTRAL,,0.71,13.4,False,github:gpt-4o-mini,github,gpt-4o-mini,1005.75,1004.54,1006.96,0.174,-0.383,-1.233,0.174,0.994,-0.378,1.148,-1.337,1.148,-2.182,0.994,-0.378,1,1
2026-06-16,SHRIRAMFIN.NS,3D,MEDIUM,BULLISH,,0.71,13.4,False,github:gpt-4o-mini,github,gpt-4o-mini,1005.75,1005.95,1007.56,0.174,-0.383,-1.233,-0.383,0.994,-0.378,1.148,-1.337,1.148,-2.182,1.148,-1.337,1,1
2026-06-16,SHRIRAMFIN.NS,5D,MEDIUM,BULLISH,,0.71,13.4,False,github:gpt-4o-mini,github,gpt-4o-mini,1005.75,1005.95,1007.56,0.174,-0.383,-1.233,-1.233,0.994,-0.378,1.148,-1.337,1.148,-2.182,1.148,-2.182,1,1
2026-06-16,AXISCADES.NS,1D,MEDIUM,NEUTRAL,,0.71,13.4,False,github:gpt-4o-mini,github,gpt-4o-mini,1825.3,1823.11,1827.49,4.996,6.459,0.904,4.996,4.996,0.038,9.023,0.038,9.023,0.038,4.996,0.038,0,0
2026-06-16,AXISCADES.NS,3D,MEDIUM,NEUTRAL,,0.71,13.4,False,github:gpt-4o-mini,github,gpt-4o-mini,1825.3,1822.01,1828.59,4.996,6.459,0.904,6.459,4.996,0.038,9.023,0.038,9.023,0.038,9.023,0.038,0,0
2026-06-16,AXISCADES.NS,5D,MEDIUM,NEUTRAL,,0.71,13.4,False,github:gpt-4o-mini,github,gpt-4o-mini,1825.3,1820.74,1829.86,4.996,6.459,0.904,0.904,4.996,0.038,9.023,0.038,9.023,0.038,9.023,0.038,1,0
2026-06-17,HINDALCO.NS,1D,MEDIUM,NEUTRAL,,0.78,13.2,False,github:gpt-4o-mini,github,gpt-4o-mini,1007.9,1006.69,1009.11,0.06,0.625,-3.105,0.06,0.943,-0.883,1.012,-2.252,1.012,-3.731,0.943,-0.883,1,1
2026-06-17,HINDALCO.NS,3D,MEDIUM,NEUTRAL,,0.78,13.2,False,github:gpt-4o-mini,github,gpt-4o-mini,1007.9,1006.09,1009.71,0.06,0.625,-3.105,0.625,0.943,-0.883,1.012,-2.252,1.012,-3.731,1.012,-2.252,1,1
2026-06-17,HINDALCO.NS,5D,MEDIUM,NEUTRAL,,0.78,13.2,False,github:gpt-4o-mini,github,gpt-4o-mini,1007.9,1005.38,1010.42,0.06,0.625,-3.105,-3.105,0.943,-0.883,1.012,-2.252,1.012,-3.731,1.012,-3.731,0,0
2026-06-17,IPCALAB.NS,1D,MEDIUM,NEUTRAL,,0.64,13.2,False,github:gpt-4o-mini,github,gpt-4o-mini,1538.7,1536.85,1540.55,0.318,3.808,5.362,0.318,0.799,-0.565,4.575,-0.565,6.674,-0.565,0.799,-0.565,1,1
2026-06-17,IPCALAB.NS,3D,MEDIUM,NEUTRAL,,0.64,13.2,False,github:gpt-4o-mini,github,gpt-4o-mini,1538.7,1535.93,1541.47,0.318,3.808,5.362,3.808,0.799,-0.565,4.575,-0.565,6.674,-0.565,4.575,-0.565,0,0
2026-06-17,IPCALAB.NS,5D,MEDIUM,NEUTRAL,,0.64,13.2,False,github:gpt-4o-mini,github,gpt-4o-mini,1538.7,1534.85,1542.55,0.318,3.808,5.362,5.362,0.799,-0.565,4.575,-0.565,6.674,-0.565,6.674,-0.565,0,0
