date,ticker,timeframe,confidence,direction,matched_strategy,ml_prob,vix,nifty_ok,source,source_provider,source_model,entry_price,target_price_lo,target_price_hi,ret_intraday,ret_intraday_real,ret_1d,ret_3d,ret_5d,ret_for_tf,max_up_0d,min_down_0d,max_up_1d,min_down_1d,max_up_3d,min_down_3d,max_up_5d,min_down_5d,max_up_for_tf,min_down_for_tf,intraday_hit_for_tf,target_hit_for_tf,hit_grade,midpoint_hit_for_tf,graded_hit_for_tf,trigger_T1,trigger_T2,trigger_T3,trigger_T4,trigger_T5,trigger_T6,trigger_T7,trigger_B1,trigger_B2,trigger_B3
2026-06-16,HINDALCO.NS,INTRADAY,MEDIUM,NEUTRAL,,0.78,13.4,False,groq:llama-3.3-70b-versatile,groq,llama-3.3-70b-versatile,977.302,972.42,982.19,0.0,,2.596,2.809,0.448,0.0,0.774,-1.262,2.972,-1.14,3.563,-1.14,3.634,-1.14,0.774,-1.262,1,1,MIDPOINT_HIT,1,1,0,0,0,0,0,0,0,0,0,1
2026-06-16,HINDALCO.NS,1D,MEDIUM,BEARISH,,0.78,13.4,False,cerebras:gemma-4-31b,cerebras,gemma-4-31b,977.302,972.48,976.37,0.0,,2.596,2.809,0.448,2.596,0.774,-1.262,2.972,-1.14,3.563,-1.14,3.634,-1.14,2.972,-1.14,1,1,MIDPOINT_HIT,1,1,0,0,0,0,0,0,0,0,0,1
2026-06-16,HINDALCO.NS,3D,MEDIUM,BEARISH,,0.78,13.4,False,huggingface:meta-llama/llama-3.1-8b-instruct,huggingface,meta-llama/llama-3.1-8b-instruct,977.302,960.25,968.06,0.0,,2.596,2.809,0.448,2.809,0.774,-1.262,2.972,-1.14,3.563,-1.14,3.634,-1.14,3.563,-1.14,1,0,RANGE_HIT,0,1,0,0,0,0,0,0,0,0,0,1
2026-06-16,IPCALAB.NS,INTRADAY,MEDIUM,BULLISH,,0.64,13.4,False,gemini:gemini-flash-lite-latest,gemini,gemini-flash-lite-latest,1550.2,1553.38,1558.74,0.0,,-0.742,2.296,4.825,0.0,2.174,-0.335,0.548,-1.135,3.8,-1.303,5.883,-1.303,2.174,-0.335,1,1,MIDPOINT_HIT,1,1,0,0,0,1,0,0,0,0,0,0
2026-06-16,IPCALAB.NS,1D,LOW,BULLISH,,0.64,13.4,False,groq:llama-3.1-8b-instant,groq,llama-3.1-8b-instant,1550.2,1551.84,1558.74,0.0,,-0.742,2.296,4.825,-0.742,2.174,-0.335,0.548,-1.135,3.8,-1.303,5.883,-1.303,0.548,-1.135,1,1,MIDPOINT_HIT,1,1,0,0,0,1,0,0,0,0,0,0
2026-06-16,IPCALAB.NS,3D,LOW,BULLISH,,0.64,13.4,False,cerebras:gpt-oss-120b,cerebras,gpt-oss-120b,1550.2,1566.56,1578.96,0.0,,-0.742,2.296,4.825,2.296,2.174,-0.335,0.548,-1.135,3.8,-1.303,5.883,-1.303,3.8,-1.303,1,1,MIDPOINT_HIT,1,1,0,0,0,1,0,0,0,0,0,0
2026-06-16,POLYCAB.NS,INTRADAY,LOW,NEUTRAL,,0.75,13.4,False,cerebras:gpt-oss-120b,cerebras,gpt-oss-120b,9546.205,9498.47,9593.94,0.0,,3.493,5.623,3.921,0.0,0.829,-1.215,4.129,0.089,6.011,0.089,6.074,0.089,0.829,-1.215,1,1,MIDPOINT_HIT,1,1,0,0,1,0,0,0,1,0,0,0
2026-06-16,POLYCAB.NS,1D,MEDIUM,BULLISH,,0.75,13.4,False,cerebras:gpt-oss-120b,cerebras,gpt-oss-120b,9546.205,9552.07,9576.71,0.0,,3.493,5.623,3.921,3.493,0.829,-1.215,4.129,0.089,6.011,0.089,6.074,0.089,4.129,0.089,1,1,MIDPOINT_HIT,1,1,0,0,1,0,0,0,1,0,0,0
2026-06-16,POLYCAB.NS,3D,MEDIUM,BULLISH,,0.75,13.4,False,huggingface:meta-llama/llama-3.1-8b-instruct,huggingface,meta-llama/llama-3.1-8b-instruct,9546.205,9604.61,9680.98,0.0,,3.493,5.623,3.921,5.623,0.829,-1.215,4.129,0.089,6.011,0.089,6.074,0.089,6.011,0.089,1,1,MIDPOINT_HIT,1,1,0,0,1,0,0,0,1,0,0,0
2026-06-16,DLF.NS,INTRADAY,MEDIUM,BULLISH,,0.65,13.4,False,gemini:gemini-flash-lite-latest,gemini,gemini-flash-lite-latest,621.497,622.5,624.21,0.0,,-0.914,-0.763,-2.693,0.0,0.429,-2.797,0.707,-1.764,2.336,-1.764,2.336,-3.059,0.429,-2.797,1,1,MIDPOINT_HIT,1,1,1,0,1,0,0,0,0,0,0,0
2026-06-16,DLF.NS,1D,LOW,NEUTRAL,,0.65,13.4,False,nvidia:meta/llama-3.1-8b-instruct,nvidia,meta/llama-3.1-8b-instruct,621.497,612.17,630.82,0.0,,-0.914,-0.763,-2.693,-0.914,0.429,-2.797,0.707,-1.764,2.336,-1.764,2.336,-3.059,0.707,-1.764,1,1,MIDPOINT_HIT,1,1,1,0,1,0,0,0,0,0,0,0
2026-06-16,DLF.NS,3D,LOW,NEUTRAL,,0.65,13.4,False,groq:llama-3.1-8b-instant,groq,llama-3.1-8b-instant,621.497,615.28,627.71,0.0,,-0.914,-0.763,-2.693,-0.763,0.429,-2.797,0.707,-1.764,2.336,-1.764,2.336,-3.059,2.336,-1.764,1,1,MIDPOINT_HIT,1,1,1,0,1,0,0,0,0,0,0,0
2026-06-16,SHRIRAMFIN.NS,INTRADAY,MEDIUM,BULLISH,,0.71,13.4,False,groq:llama-3.1-8b-instant,groq,llama-3.1-8b-instant,1000.093,1001.7,1004.41,0.0,,0.174,-0.383,-1.233,0.0,0.428,-1.362,0.994,-0.378,1.148,-1.337,1.148,-2.182,0.428,-1.362,1,1,MIDPOINT_HIT,1,1,1,0,1,0,0,0,0,0,0,0
2026-06-16,SHRIRAMFIN.NS,1D,LOW,BULLISH,,0.71,13.4,False,cerebras:gemma-4-31b,cerebras,gemma-4-31b,1000.093,1000.92,1004.41,0.0,,0.174,-0.383,-1.233,0.174,0.428,-1.362,0.994,-0.378,1.148,-1.337,1.148,-2.182,0.994,-0.378,1,1,MIDPOINT_HIT,1,1,1,0,1,0,0,0,0,0,0,0
2026-06-16,SHRIRAMFIN.NS,3D,LOW,BULLISH,,0.71,13.4,False,cerebras:gemma-4-31b,cerebras,gemma-4-31b,1000.093,1008.35,1016.35,0.0,,0.174,-0.383,-1.233,-0.383,0.428,-1.362,0.994,-0.378,1.148,-1.337,1.148,-2.182,1.148,-1.337,1,0,RANGE_HIT,0,1,1,0,1,0,0,0,0,0,0,0
2026-06-16,AXISCADES.NS,INTRADAY,MEDIUM,BULLISH,,0.71,13.4,False,huggingface:meta-llama/llama-3.1-8b-instruct,huggingface,meta-llama/llama-3.1-8b-instruct,1825.3,1831.08,1840.86,0.0,,4.996,6.459,0.904,0.0,5.057,-0.493,4.996,0.038,9.023,0.038,9.023,0.038,5.057,-0.493,1,1,MIDPOINT_HIT,1,1,0,0,0,0,1,0,0,0,0,0
2026-06-16,AXISCADES.NS,1D,MEDIUM,BULLISH,,0.71,13.4,False,gemini:gemini-flash-lite-latest,gemini,gemini-flash-lite-latest,1825.3,1828.29,1840.86,0.0,,4.996,6.459,0.904,4.996,5.057,-0.493,4.996,0.038,9.023,0.038,9.023,0.038,4.996,0.038,1,1,MIDPOINT_HIT,1,1,0,0,0,0,1,0,0,0,0,0
2026-06-16,AXISCADES.NS,3D,MEDIUM,BULLISH,,0.71,13.4,False,nvidia:meta/llama-3.1-8b-instruct,nvidia,meta/llama-3.1-8b-instruct,1825.3,1855.09,1869.69,0.0,,4.996,6.459,0.904,6.459,5.057,-0.493,4.996,0.038,9.023,0.038,9.023,0.038,9.023,0.038,1,1,MIDPOINT_HIT,1,1,0,0,0,0,1,0,0,0,0,0
2026-06-19,HINDALCO.NS,INTRADAY,LOW,NEUTRAL,,0.74,13.0,False,cerebras:gemma-4-31b,cerebras,gemma-4-31b,1004.758,999.73,1009.78,0.0,,0.416,-3.307,-5.624,0.0,0.673,-2.455,0.802,-0.634,0.802,-3.931,0.802,-5.921,0.673,-2.455,1,1,MIDPOINT_HIT,1,1,0,0,0,0,0,0,0,0,0,1
2026-06-19,HINDALCO.NS,1D,MEDIUM,BEARISH,,0.74,13.0,False,cerebras:gemma-4-31b,cerebras,gemma-4-31b,1004.758,999.93,1003.83,0.0,,0.416,-3.307,-5.624,0.416,0.673,-2.455,0.802,-0.634,0.802,-3.931,0.802,-5.921,0.802,-0.634,1,1,MIDPOINT_HIT,1,1,0,0,0,0,0,0,0,0,0,1
2026-06-19,HINDALCO.NS,3D,LOW,BEARISH,,0.74,13.0,False,cerebras:gemma-4-31b,cerebras,gemma-4-31b,1004.758,987.48,995.52,0.0,,0.416,-3.307,-5.624,-3.307,0.673,-2.455,0.802,-0.634,0.802,-3.931,0.802,-5.921,0.802,-3.931,1,1,MIDPOINT_HIT,1,1,0,0,0,0,0,0,0,0,0,1
