date,ticker,timeframe,confidence,direction,matched_strategy,ml_prob,vix,nifty_ok,source,source_provider,source_model,entry_price,target_price_lo,target_price_hi,ret_intraday,ret_1d,ret_3d,ret_5d,ret_for_tf,max_up_0d,min_down_0d,max_up_1d,min_down_1d,max_up_3d,min_down_3d,max_up_5d,min_down_5d,max_up_for_tf,min_down_for_tf,intraday_hit_for_tf,target_hit_for_tf,hit_grade,midpoint_hit_for_tf,graded_hit_for_tf,trigger_T1,trigger_T2,trigger_T3,trigger_T4,trigger_T5,trigger_T6,trigger_T7,trigger_B1,trigger_B2,trigger_B3
2026-06-16,HINDALCO.NS,INTRADAY,MEDIUM,BEARISH,,0.78,13.4,False,groq:llama-3.3-70b-versatile,groq,llama-3.3-70b-versatile,977.302,972.21,972.66,0.0,2.596,2.809,0.448,0.0,0.774,-1.262,2.972,-1.14,3.563,-1.14,3.634,-1.14,0.774,-1.262,1,1,MIDPOINT_HIT,1,1,0,0,0,0,0,0,0,0,0,1
2026-06-16,HINDALCO.NS,1D,MEDIUM,BEARISH,,0.78,13.4,False,cerebras:gemma-4-31b,cerebras,gemma-4-31b,977.302,972.48,973.59,0.0,2.596,2.809,0.448,2.596,0.774,-1.262,2.972,-1.14,3.563,-1.14,3.634,-1.14,2.972,-1.14,1,1,MIDPOINT_HIT,1,1,0,0,0,0,0,0,0,0,0,1
2026-06-16,HINDALCO.NS,3D,MEDIUM,BEARISH,,0.78,13.4,False,huggingface:meta-llama/llama-3.1-8b-instruct,huggingface,meta-llama/llama-3.1-8b-instruct,977.302,967.6,968.06,0.0,2.596,2.809,0.448,2.809,0.774,-1.262,2.972,-1.14,3.563,-1.14,3.634,-1.14,3.563,-1.14,1,1,MIDPOINT_HIT,1,1,0,0,0,0,0,0,0,0,0,1
2026-06-16,IPCALAB.NS,INTRADAY,LOW,BULLISH,,0.64,13.4,False,groq:llama-3.1-8b-instant,groq,llama-3.1-8b-instant,1550.2,1558.42,1559.22,0.0,-0.742,2.296,4.825,0.0,2.174,-0.335,0.548,-1.135,3.8,-1.303,5.883,-1.303,2.174,-0.335,1,1,MIDPOINT_HIT,1,1,0,0,0,1,0,0,0,0,0,0
2026-06-16,IPCALAB.NS,1D,LOW,BULLISH,,0.64,13.4,False,cerebras:gemma-4-31b,cerebras,gemma-4-31b,1550.2,1556.77,1558.74,0.0,-0.742,2.296,4.825,-0.742,2.174,-0.335,0.548,-1.135,3.8,-1.303,5.883,-1.303,0.548,-1.135,1,1,MIDPOINT_HIT,1,1,0,0,0,1,0,0,0,0,0,0
2026-06-16,IPCALAB.NS,3D,MEDIUM,BULLISH,,0.64,13.4,False,huggingface:meta-llama/llama-3.1-8b-instruct,huggingface,meta-llama/llama-3.1-8b-instruct,1550.2,1566.56,1567.37,0.0,-0.742,2.296,4.825,2.296,2.174,-0.335,0.548,-1.135,3.8,-1.303,5.883,-1.303,3.8,-1.303,1,1,MIDPOINT_HIT,1,1,0,0,0,1,0,0,0,0,0,0
2026-06-16,POLYCAB.NS,INTRADAY,MEDIUM,BULLISH,,0.75,13.4,False,cerebras:gemma-4-31b,cerebras,gemma-4-31b,9546.205,9575.56,9578.43,0.0,3.493,5.623,3.921,0.0,0.829,-1.215,4.129,0.089,6.011,0.089,6.074,0.089,0.829,-1.215,1,1,MIDPOINT_HIT,1,1,0,0,1,0,0,0,1,0,0,0
2026-06-16,POLYCAB.NS,1D,MEDIUM,BULLISH,,0.75,13.4,False,huggingface:meta-llama/llama-3.1-8b-instruct,huggingface,meta-llama/llama-3.1-8b-instruct,9546.205,9569.67,9576.71,0.0,3.493,5.623,3.921,3.493,0.829,-1.215,4.129,0.089,6.011,0.089,6.074,0.089,4.129,0.089,1,1,MIDPOINT_HIT,1,1,0,0,1,0,0,0,1,0,0,0
2026-06-16,POLYCAB.NS,3D,MEDIUM,BULLISH,,0.75,13.4,False,cerebras:gemma-4-31b,cerebras,gemma-4-31b,9546.205,9604.61,9607.51,0.0,3.493,5.623,3.921,5.623,0.829,-1.215,4.129,0.089,6.011,0.089,6.074,0.089,6.011,0.089,1,1,MIDPOINT_HIT,1,1,0,0,1,0,0,0,1,0,0,0
2026-06-16,DLF.NS,INTRADAY,MEDIUM,NEUTRAL,,0.65,13.4,False,cerebras:gemma-4-31b,cerebras,gemma-4-31b,629.3,616.71,641.89,0.0,-0.914,-0.763,-2.693,0.0,0.429,-2.797,0.707,-1.764,2.336,-1.764,2.336,-3.059,0.429,-2.797,1,1,MIDPOINT_HIT,1,1,1,0,1,0,0,0,0,0,0,0
