Centre Name,CHP Operating Hours,AAC Operating Hours,Address,Postal Code,Category,longitude,latitude,Forsg, 
Sunset Way Residents' Committee,"Every 2nd and 4th Monday of the month,  9:00am - 12:00pm",,"113 Clementi Street 13, #01-39, 120113",120113,CHP,103.7701323,1.323684011,https://for.sg/chp-sunsetway-113clementi,
Gateway View Residents' Network,"Every 1st and 3rd Tuesday of the month,  9:00am - 12:00pm",,"204 Clementi Avenue 6, #01-09, 120204",120204,CHP,103.7632317,1.320985887,https://for.sg/chp-gatewayviewrn-204clementiave,
Clementi Meadows Residents' Network,"Every 2nd and 4th Wednesday of the month,  9:00am - 12:00pm",,"306 Clementi Avenue 4, #01-465, 120306",120306,CHP,103.7659013,1.321438261,https://for.sg/chp-clementimeadowsrn-306clementiave,
St Luke's ElderCare Active Ageing Centre (Care) @ Bukit Timah,,"Mon - Fri: 9.00am - 6.00pm | Closed on Sat, Sun & Public Holiday","310 Clementi Avenue 4, #01-263, 120310",120310,AAC,103.7659449,1.32027016,,
Lions Befrienders AAC @Clementi 344,"Every Thursday,  2:00pm - 5:00pm","
Mon - Fri: 9.00am - 6.00pm

","344 Clementi Avenue 5, #01-132, 120344",120344,AAC & CHP,103.7690884,1.31812074,https://for.sg/chp-lb344clementi,
Lions Befrienders AAC @Clementi 367/366,"Every Wednesday,  9:00am - 12:00pm","
Mon - Fri: 9.00am - 6.00pm

","366 Clementi Avenue 2, #01-527, 120366",120366,AAC & CHP,103.7716764,1.312549536,https://for.sg/chp-lb366367clementi,
Lions Befrienders AAC @Clementi 367/366,"Wednesday, 9.00am to 12.00pm",Mon - Fri: 9.00am - 6.00pm,"367 Clementi Avenue 2, #01-525, 120367",120367,AAC & CHP,103.7716487,1.312940672,https://for.sg/chp-lb366367clementi,
Wellness Space @ Clementi Peaks,"Every 1st and 3rd Saturday of the month, 9:00am - 12:00pm |
Every 2nd and 4th Friday of the month, 2:00pm - 5:00pm",,"463 Clementi Avenue 1, #01-18, 120463",120463,CHP,103.7678634,1.310965805,https://for.sg/chp-463clementi,
West Coast Heights Resident's Network,"Every 2nd Wednesday of the month,  9:00am - 12:00pm",,"511 West Coast Drive #01-343, 120511",120511,CHP,103.7604116,1.310320167,https://for.sg/chp-westcoastheightsrn,
St Luke's ElderCare Active Ageing Centre (Care) @ Clementi,,"Mon - Fri: 9.00am - 6.00pm | Closed on Sat, Sun & Public Holiday","602 Clementi West Street 1, #01-25, 120602",120602,AAC,103.766301,1.305124151,,
West Coast Ville Residents' Network,"Every 1st and 3rd Friday of the month,  9:00am - 12:00pm",,"608 Clementi West Street 1, #01-89, 120608",120608,CHP,103.7665298,1.304341103,https://for.sg/wcrn608clementiwest,
SASCO@WestCoast,"Every 1st and 3rd Wednesday of the month,  2:00pm - 5:00pm","
Mon - Fri: 8.30am - 5.30pm

","704 West Coast Road, #01-431, 120704",120704,AAC & CHP,103.760538,1.306347506,https://for.sg/chp-sasco704westcoast,
West Coast Wellness Club (West Coast Wellness Centre),"Every Monday,  9:00am - 12:00pm",,"728 Clementi West Street 2, #01-412, 120728",120728,CHP,103.7638334,1.305202068,https://for.sg/chp-wc728clementi,
Lions Befrienders AAC @Clementi 420,"Every Tuesday,  9:00am - 12:00pm","
Mon - Fri: 9.00am - 6.00pm

","420A Clementi Avenue 1, #02-03, 121420",121420,AAC & CHP,103.7686373,1.309733312,https://for.sg/chp-lb420aclementi,
Trivelis Residents' Network,"Every 1st and 3rd Tuesday of the month,  2:00pm - 5:00pm",,"311B Clementi Avenue 4, #01-171, 122311",122311,CHP,103.7656494,1.319446691,https://for.sg/chp-trivelisresidentnetwork,
FaithActs (1 Dover Road),"Every 1st and 3rd Friday of the month,  9:00am - 12:00pm",,"1 Dover Road, 130001",130001,CHP,103.7832717,1.302529947,https://for.sg/chp-faithacts1dover,
St. Andrew's Active Ageing Centre (Dover),,Mon - Fri: 9.00am - 6.00pm | Sat: 9.00am - 1.00pm | Closed on Sun & Public Holiday,"4 Dover Road, 130004",130004,AAC,103.783274,1.303407683,,
FaithActs (13 Dover Close East),"Every 2nd and 4th Friday of the month ,  9:00am - 12:00pm",,"13 Dover Close East, #01-212, 130013",130013,CHP,103.7860795,1.305370112,https://for.sg/chp-faithacts13dover,
FaithActs (Margaret Drive) & Come4TeaLah!,"Every 1st and 3rd Wednesday of the month,  9:00am - 12:00pm","Mon - Fri: 9.00am - 6.00pm | Closed on Sat, Sun & Public Holiday

","40 Margaret Drive, #01-07, 141040",141040,AAC & CHP,103.8060571,1.297006873,https://for.sg/chp-faithacts-40margaretdrive,
Fei Yue Active Ageing Centre (Commonwealth),"Every 2nd and 4th Wednesday of the month,  2:00pm - 5:00pm","
Mon - Fri: 2.00pm - 6.00pm

","107 Commonwealth Crescent, #01-230, 140107",140107,AAC & CHP,103.7993123,1.307862447,https://for.sg/chp-fy107commonwealthcres,
FaithActs (Commonwealth Crescent),"Every 1st and 3rd Tuesday of the month,  9:00am - 12:00pm",,"118 Commonwealth Crescent, #01-23, 140118",140118,CHP,103.8006934,1.306751329,https://for.sg/chp-faithacts118commonwealthdr,
Queenstown Multi-Service Centre,"Every 3rd Wednesday of the month,  2:00pm - 5:00pm |
Every 1st Saturday of each quarter (Strictly by appointment), 9:00am - 12:00pm",,"150 Mei Chin Street, 140150",140150,CHP,103.8038201,1.295364329,https://for.sg/qt150ameichin,
Happy Village @ Mei Ling,"Every Wednesday,  2:00pm - 5:00pm",,"160 Mei Ling Street, #01-293, 140160",140160,CHP,103.8042298,1.292096907,https://for.sg/hvmeiling,
PCS Cedar Tree AAC @Strathmore 61,"Every Monday,  2:00pm - 5:00pm","
Mon - Fri: 8.30am - 6.00pm | (Closed for lunch from 12.00pm - 1.00 pm)

","61 Strathmore Avenue, #01-02, 141061",141061,AAC & CHP,103.8109792,1.29399775,https://for.sg/chp-pcs-cedartree-strathmore,
Lions Befrienders AAC @Mei Ling 150,"Every Thursday,  9:00am - 12:00pm","
Mon - Fri: 9.00am - 6.00pm

","150 Mei Ling Street, #01-53, 141150",141150,AAC & CHP,103.8036993,1.294903079,https://for.sg/chp-lb150meiling,
FaithActs (Commonwealth Drive),"Every 2nd and 4th Tuesday of the month ,  9:00am - 12:00pm","
Mon - Fri: 9.00am - 6.00pm | Closed on Sat, Sun & Public Holiday

","50 Commonwealth Drive, #01-506, 142050",142050,AAC & CHP,103.797123,1.301129092,https://for.sg/chp-faithacts50commonwealthdr,
Precious Active Ageing Centre (SkyTerrace@Dawson),"Every 2nd and 4th Tuesday of the month,  2:00pm - 5:00pm","
Mon - Fri: 8.30am - 6.00pm

","93 Dawson Road, #01-02, 142093",142093,AAC & CHP,103.8117965,1.29499227,https://for.sg/chp-precious93dawson,
Lions Befrienders AAC @Ghim Moh 18,"Every Thursday,  2:00pm - 5:00pm","
Mon - Fri: 9.00am - 6.00pm

","18 Ghim Moh Road, #01-115, 270018",270018,AAC & CHP,103.7870824,1.310150547,https://for.sg/chp-lbaac18ghimmoh,
Fei Yue Active Ageing Centre (Holland Close),"Every Tuesday,  2:00pm - 5:00pm","
Mon - Fri: 9.30am - 6.00pm

","1 Holland Close, #02-115, 271001",271001,AAC & CHP,103.7967324,1.309219378,https://for.sg/chp-fy1hollandclose,
Active Global Active Ageing Centre (CARE) @ Ghim Moh Edge,"Every 4th Monday of the month,  2:30pm - 5:00pm
Every 2nd Thursday of the month, 2:00pm - 5:00pm","
Mon - Sun: 8.00am - 7.00pm

","31A Ghim Moh Link, #01-11, 272031",272031,AAC & CHP,103.7843542,1.309328822,https://for.sg/chp-care-31aghimmoh,
TRANS FOCUS Active Ageing Centre,,Mon - Fri: 9.00am - 5:00pm,"3 Toh Yi Drive, #01-189, 590003",590003,AAC,103.7752542,1.338774304,,
PCS Cedar Tree AAC @Toh Yi 21,"Every Thursday,  9:00am - 12:00pm","
Mon - Fri: 8.30am - 6.00pm | (Closed for lunch from 12.00pm - 1.00pm)

","21 Toh Yi Drive, #02-601, 590021",590021,AAC & CHP,103.7719863,1.338131993,https://for.sg/chp-pcs-cedartree-21tohyi,
