nome,genere,raro
Gianfranco,m,
Petunia,f,
Matilda,f,
Gesù,m,
Patrizia,f,
Anastasia,f,
Tancredi,m,
Geltrude,f,
San bartolomeo,m,
Stefania,f,
Sandrina,f,
Gervasio,m,
Tibetino,m,
Filiberto,m,
Demetra,f,
Carlina,f,
Peppone,m,
Brumilda,f,
Ermenegilda,f,
Loretta,f,
Juan,m,
Gonzago,m,
Carmeletto,m,
Clarissa,f,
Asdrubale,m,
Osvaldo,m,
Moreno,m,
Gilberto,m,
Lucresia,f,
Esposito,m,
Proserpina,f,
Annunziata,f,
Pasqualino,m,
Simonetta,f,
Giovanni,m,
Natalia,f,
Girolamo,m,
Ernesto,m,
Ambrogio,m,
Ettorina,f,
Onorino,m,
Giandomenica,f,
Natalino,m,
Romualda,f,
Melania,f,
Reginaldo,m,
Percivaldo,m,
Flaviana,f,
Manuela,f,
Madonna,f,
Adolf Hitler,m,
Calimero,m,
Mussolini,m,
Marilina,f,
Michael Jackson,m,
Orietta Berti,f,
Gerry Scotti,m,
Maria de Filippi,f,
Ormina,f,
Rosita,f,
Hello Kitty,f,
Cesare,m,
Chiara Facchetti,f,
Onorio,m,
Adolfo,m,
Teodolinda,f,
Iolanda,f,
Domiziano,m,
Diocleziano,m,
Mafalda,f,
Apollonia,f,
Eufrasio,m,
Mirandolina,f,
Torquato,m,
Beppe,m,
Giampiertolda,f,
Mariano,m,
Lancillotto,m,
Vernelia,f,
Marcantonio,m,
Perpetua,f,
Cassiopea,f,
Papa Francesco,m,
Ampelietto,m,
Don Abbondio,m,
Maria Luisa Pia,f,
Ludmilla,f,
Cristo,m,
Dio,m,
Signore,m,
San Giovanni,m,
Madre Teresa,f,
San Sebastiano,m,
Arcangelo Gabriele,m,
Maria,f,
Sant'Anna,f,
Sant'Antonio,m,
Santa Chiara Da Copenaghen,f,
Beata Crocifissa Ostrogota,f,
San Eristefale,m,
Santa Emerenziana,f,
Eustachio,m,
Cunegonda,f,
Pancrazio,m,
Genoveffa,f,
Addolorata,f,
Teopompo,m,
Clodoveo,m,
Ermenegildo,m,
Bixio,m,
Gelsomina,f,
Trifone,m,
Annibale,m,
Barbara D'Urso,f,
Malgioglio,m,
Il Divino Otelma,m,
Pingu,m,
Peppa Pig,f,
Magalli,m,
Amadeus,m,
Lady Gaga,f,
Shrek,m,
Spongebob,m,
Mocio Vileda,m,
Telecomanda,f,
Tiramisù,m,
Varechina,f,
San Bitter,m,
Santa Pazienza,f,
Beata Solitudine,f,
Arcangelo Smirneo,m,
Tutankhamon,m,
Vercingetorige,m,
Napoleone,m,
Giulio Cesare,m,
Beata Ignoranza,f,
Sant'Iddio,m,
San Giovanni Decapitato,m,
Pierpiero,m,
Gianmariafilippo,m,
Maria Antonietta,f,
Loredano,m,
Giuseppina Bonaparte,f,
Massimilianotello,m,
Mariottide,f,
Orazio,m,
Santa Maria Senza Peccato Concepta,f,
Galeazzo,m,
Rossana,f,
Gianantonio,m,
Broccolo,m,
Crostatina,f,
Teresa Fidalgo,f,
Fiorella,f,
Ninetta,f,
Armenegilda,f,
Lancillotta,f,
Enza,f,
Viterbo,m,
Jessika La Troia,f,
Romina,f,
Concetta,f,
Reginella,f,
Umberto,m,
Lyon WGF,m,
Il Gabibbo,m,
Un Pompiere,m,
Ventilatroie,m,
Nonnina,f,
Bruschetta,f,
Beba,f,
Berna,f,
Chiquita,f,
Cristinella,f,
Marmotta,f,
Nerina,f,
Pippa,f,
Tequila,f,
Zingara,f,
Fiona,f,
Ornella,f,
Banana,f,
I Fantastici 104,p,
Il Masseo,m,
Babbo Natale,m,
Befana,f,
"Aldo, Giovanni e Giacomo",p,
Una troia bastarda,f,
Andrea,m,
Raul,m,
Alice,f,
Gianluca,m,
Marco,m,
Irene,f,
Lorenzo,m,
Chiara,f,
Camilla,f,
Alesandro,m,
Alessia,f,
Noemi,f,
Daria,f,
Mathia,m,
Maja,f,
Anja,f,
Pietro,m,
Shariqa,f,
Milo,m,
Ginevra,f,
Giada,f,
Rachele,f,
Gabriele,m,
Asia-Gaia,f,
Barbie,f,
Ken,m,
Dracula,m,
Leopardi,m,
Chat GPT,n,
Claudiano,m,
Fasfaceto,m,
Vecchi dementi,p,
Letizia,f,
Benjamin,m,
Stefano Universo,m,
PDiddy,m,
Elsa di Frozen,f,
Rita Levi Montalcini,f,
Checco Glione,m,
Thomas Ticato,m,
Checca Pocchia,m,
Erminio Ottone,m,
Dario Lampa,m,
Paul Codio,m,
Bella Pompa,f,
Eddy Ocane,n,
Nadia Arrea,f,
Perla Madonna,f,
Rick Yone,m,
Lollo Causto,m,
Giudy Morale,f,
Sara Cinesca,f,
Gaylord,m,
Drusilla,f,
Lamberto,m,
Euridice,f,
Troia (la città),f,
La Signora in Giallo,f,
Trilli,f,
Minnie,f,
Topolino,m,
Pedro Pascal,m,
Anne Hathaway,f,
Adamo ed Eva,p,
Tristano,m,
Isotta,f,
Ficarra e Picone,p,
Avengers,p,
Vannacci,m,
I Ricchi e Poveri,p,
Fazzoletti Tempo,p,
Edo,m,
Nano da giardino,m,
Lanabanana,n,raro
Meggy,f,
Zohran Mamdani,m,
Elenoire Ferruzzi,f,
Anna Tatangelo,f,
Sabrina Carpenter,f,
Ajello Giovanna Carmela Mar (PA),f,
Clero stronzo,m,
I Beati Paoli,p,
Terea,f,
Sadam Houssain,m,
Bonolis,m,
Loredana Bertè,f,
Netanyahu,m,
Monika,f,
Spiderman,m,
Wonder Woman,f,
Spermatozoi,p,
Bambini Cinesi,p,
"La Nina, la Pinta e la Santa Maria",fp,
Suorine,fp,
Le Ragazze di Porta Venezia,fp,
Suffragette,fp,
Mikeshowsha,m,
Gioventa,f,
Jeffrey Epstein,m,
Tette,fp,
Bambino,m,
La Bella Lavanderina,f,
Britney Spears,f,
Paperotte,fp,
Tatiana,f,
Jannik Sinner,m,
Hailie McAnally,f,
Charles Leclerc,m,
Rosa Parks,f,
Edoardo Lupo Lucia,m,
Nicoletta,f,
Ispettore Gennaro,m,
Renesmee,f,
Edward Cullen,m,
Sailor Moon,f,
Mastrolindo,m,
