,TabFM+,"AutoGluon 1.6 (noncommercial, 4h)",EXAONE-Tabular (default),TabFM (default),"AutoGluon 1.5 (extreme, 4h)",RealTabPFN-2.5 (T+E),"AutoGluon 1.6 (extreme, 4h)",TabPFN-2.6 (default),TabPFN-3 (default),TabICLv2 (default),LimiX (default),"AutoGluon 1.4 (best, 4h)",RealMLP (T+E),TabM (T+E),CatBoost (T+E),LightGBM (T+E),TabDPT (T+E),xRFM (T+E),TabDPT-Turbo (default),SAP-RPT-OSS (default),XGBoost (T+E),ExtraTrees (T+E),EBM (T+E),ModernNCA (T+E),ChimeraBoost (T+E),iLTM (T+E),RandomForest (T+E),BetaTabPFN (default),TorchMLP (T+E),TabSwift (default),FastaiMLP (T+E),KNN (T+E),TabSTAR (T+E),OrionMSP (default),Linear (T+E),PerpetualBooster (T+E),TabFlex (default)
TabFM+,,0.75,0.75,0.625,0.75,0.75,0.75,0.875,0.875,1.0,0.875,0.75,1.0,0.875,1.0,0.875,0.875,0.875,1.0,0.875,1.0,0.875,1.0,1.0,0.875,1.0,0.875,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0
"AutoGluon 1.6 (noncommercial, 4h)",0.25,,0.375,0.25,0.5,0.625,0.8125,0.75,0.875,0.875,0.875,1.0,0.875,0.75,0.875,1.0,1.0,0.875,1.0,0.75,1.0,0.875,0.875,1.0,1.0,1.0,0.875,0.875,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0
EXAONE-Tabular (default),0.25,0.625,,0.25,0.625,0.625,0.625,0.75,0.75,0.75,0.75,0.75,0.875,0.75,1.0,0.875,0.75,0.875,0.875,0.875,1.0,0.875,1.0,1.0,0.875,1.0,0.875,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0
TabFM (default),0.375,0.75,0.75,,0.75,0.625,0.75,0.75,0.75,1.0,0.75,0.75,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,1.0,1.0,1.0
"AutoGluon 1.5 (extreme, 4h)",0.25,0.5,0.375,0.25,,0.375,0.5,0.625,0.75,0.75,0.875,0.875,0.875,0.875,0.75,0.875,0.875,0.875,0.875,0.75,1.0,0.875,0.875,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0
RealTabPFN-2.5 (T+E),0.25,0.375,0.375,0.375,0.625,,0.375,0.75,0.625,0.75,0.75,0.75,0.875,0.75,1.0,0.875,0.75,0.875,0.875,1.0,1.0,0.875,0.875,1.0,1.0,1.0,0.875,0.875,0.875,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0
"AutoGluon 1.6 (extreme, 4h)",0.25,0.1875,0.375,0.25,0.5,0.625,,0.75,0.75,0.75,0.75,1.0,0.75,0.625,0.875,1.0,0.875,0.75,1.0,0.75,1.0,0.75,0.875,1.0,1.0,1.0,0.875,0.875,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0
TabPFN-2.6 (default),0.125,0.25,0.25,0.25,0.375,0.25,0.25,,0.5,0.5,0.75,0.5,0.875,0.75,0.875,0.875,0.75,0.875,0.875,0.75,1.0,0.875,0.75,1.0,0.875,1.0,0.75,0.75,0.875,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0
TabPFN-3 (default),0.125,0.125,0.25,0.25,0.25,0.375,0.25,0.5,,0.75,0.625,0.5,0.625,0.625,0.625,0.75,0.75,0.75,0.875,0.625,0.875,0.875,0.75,1.0,0.875,1.0,0.875,0.75,0.875,0.875,0.875,0.875,1.0,1.0,1.0,1.0,1.0
TabICLv2 (default),0.0,0.125,0.25,0.0,0.25,0.25,0.25,0.5,0.25,,0.625,0.625,0.625,0.625,0.625,0.875,0.75,0.625,0.875,0.5,0.75,0.75,0.625,0.875,0.75,0.875,0.75,0.75,0.875,0.875,0.875,0.875,0.875,0.875,1.0,1.0,0.875
LimiX (default),0.125,0.125,0.25,0.25,0.125,0.25,0.25,0.25,0.375,0.375,,0.5,0.625,0.75,0.625,0.625,0.5,0.75,0.625,0.625,0.75,0.875,0.75,0.75,0.75,0.625,0.875,0.75,0.75,0.75,0.75,0.875,1.0,1.0,1.0,1.0,1.0
"AutoGluon 1.4 (best, 4h)",0.25,0.0,0.25,0.25,0.125,0.25,0.0,0.5,0.5,0.375,0.5,,0.5,0.5,0.625,0.75,0.5,0.625,0.625,0.625,0.75,0.625,0.75,0.625,0.875,0.75,0.625,0.75,0.875,0.75,1.0,0.75,0.875,0.875,1.0,1.0,1.0
RealMLP (T+E),0.0,0.125,0.125,0.125,0.125,0.125,0.25,0.125,0.375,0.375,0.375,0.5,,0.625,0.625,0.625,0.5,0.625,0.5,0.625,0.875,0.5,0.75,0.75,0.875,0.75,0.5,0.75,0.75,0.75,0.875,0.875,1.0,1.0,1.0,1.0,1.0
TabM (T+E),0.125,0.25,0.25,0.125,0.125,0.25,0.375,0.25,0.375,0.375,0.25,0.5,0.375,,0.25,0.5,0.625,0.5,0.625,0.625,0.625,0.5,0.875,0.625,0.625,0.5,0.625,0.875,0.875,0.625,0.75,0.875,1.0,1.0,1.0,1.0,1.0
CatBoost (T+E),0.0,0.125,0.0,0.125,0.25,0.0,0.125,0.125,0.375,0.375,0.375,0.375,0.375,0.75,,0.375,0.75,0.625,0.5,0.5,0.75,0.75,0.625,0.875,0.625,0.75,0.625,0.625,0.875,0.875,0.75,0.75,1.0,1.0,1.0,1.0,1.0
LightGBM (T+E),0.125,0.0,0.125,0.125,0.125,0.125,0.0,0.125,0.25,0.125,0.375,0.25,0.375,0.5,0.625,,0.5,0.5,0.75,0.625,0.5,0.625,0.75,0.5,0.75,0.625,0.625,0.875,0.875,0.875,0.75,0.75,0.875,1.0,1.0,1.0,1.0
TabDPT (T+E),0.125,0.0,0.25,0.125,0.125,0.25,0.125,0.25,0.25,0.25,0.5,0.5,0.5,0.375,0.25,0.5,,0.5,0.375,0.5,0.625,0.5,0.625,0.625,0.625,0.75,0.625,0.75,0.75,0.625,0.75,0.875,0.875,1.0,0.875,0.875,1.0
xRFM (T+E),0.125,0.125,0.125,0.125,0.125,0.125,0.25,0.125,0.25,0.375,0.25,0.375,0.375,0.5,0.375,0.5,0.5,,0.625,0.375,0.5,0.625,0.5,0.625,0.75,0.5,0.625,0.625,0.625,0.75,0.625,1.0,0.875,1.0,1.0,1.0,1.0
TabDPT-Turbo (default),0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.375,0.375,0.5,0.375,0.5,0.25,0.625,0.375,,0.5,0.625,0.625,0.5,0.625,0.375,0.75,0.625,0.5,0.75,1.0,0.625,0.875,0.75,1.0,0.875,0.875,1.0
SAP-RPT-OSS (default),0.125,0.25,0.125,0.125,0.25,0.0,0.25,0.25,0.375,0.5,0.375,0.375,0.375,0.375,0.5,0.375,0.5,0.625,0.5,,0.5,0.5,0.375,0.5,0.5,0.5,0.5,0.625,0.625,0.5,0.625,0.625,0.75,0.625,0.875,0.875,0.875
XGBoost (T+E),0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.25,0.25,0.25,0.125,0.375,0.25,0.5,0.375,0.5,0.375,0.5,,0.625,0.625,0.75,0.625,0.75,0.5,0.625,0.75,0.75,0.625,0.75,1.0,1.0,1.0,1.0,1.0
ExtraTrees (T+E),0.125,0.125,0.125,0.125,0.125,0.125,0.25,0.125,0.125,0.25,0.125,0.375,0.5,0.5,0.25,0.375,0.5,0.375,0.375,0.5,0.375,,0.375,0.25,0.5,0.25,0.75,0.625,0.5,0.75,0.5,1.0,0.875,1.0,0.75,0.875,1.0
EBM (T+E),0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.25,0.25,0.375,0.25,0.25,0.25,0.125,0.375,0.25,0.375,0.5,0.5,0.625,0.375,0.625,,0.5,0.375,0.5,0.625,0.5,0.5,0.625,0.625,0.75,0.875,0.75,1.0,1.0,1.0
ModernNCA (T+E),0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.375,0.25,0.375,0.125,0.5,0.375,0.375,0.375,0.5,0.25,0.75,0.5,,0.5,0.5,0.625,0.625,0.625,0.625,0.75,0.875,0.875,1.0,1.0,1.0,1.0
ChimeraBoost (T+E),0.125,0.0,0.125,0.25,0.0,0.0,0.0,0.125,0.125,0.25,0.25,0.125,0.125,0.375,0.375,0.25,0.375,0.25,0.625,0.5,0.375,0.5,0.625,0.5,,0.625,0.5,0.5,0.75,0.625,0.5,0.625,0.875,1.0,1.0,0.875,1.0
iLTM (T+E),0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.375,0.25,0.25,0.5,0.25,0.375,0.25,0.5,0.25,0.5,0.25,0.75,0.5,0.5,0.375,,0.625,0.5,0.625,0.625,0.75,0.875,0.875,0.875,0.875,1.0,1.0
RandomForest (T+E),0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.25,0.125,0.25,0.125,0.375,0.5,0.375,0.375,0.375,0.375,0.375,0.375,0.5,0.5,0.25,0.375,0.375,0.5,0.375,,0.5,0.5,0.625,0.5,0.875,0.875,0.875,0.75,0.875,0.875
BetaTabPFN (default),0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.125,0.375,0.125,0.25,0.375,0.5,0.375,0.375,0.375,0.5,0.375,0.5,0.5,0.5,,0.625,0.5,0.625,0.75,0.75,0.875,1.0,1.0,1.0
TorchMLP (T+E),0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.25,0.125,0.25,0.125,0.125,0.125,0.25,0.375,0.25,0.375,0.25,0.5,0.5,0.375,0.25,0.375,0.5,0.375,,0.5,0.625,0.75,0.875,0.75,0.875,0.875,1.0
TabSwift (default),0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.25,0.25,0.25,0.375,0.125,0.125,0.375,0.25,0.0,0.5,0.25,0.25,0.375,0.375,0.375,0.375,0.375,0.5,0.5,,0.625,0.75,0.75,0.875,0.75,0.875,1.0
FastaiMLP (T+E),0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.25,0.0,0.125,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.5,0.375,0.25,0.5,0.25,0.5,0.375,0.375,0.375,,0.625,0.75,0.625,0.875,0.75,1.0
KNN (T+E),0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.25,0.125,0.125,0.25,0.25,0.125,0.0,0.125,0.375,0.25,0.0,0.25,0.125,0.375,0.125,0.125,0.25,0.25,0.25,0.375,,0.375,0.375,0.375,0.75,0.625
TabSTAR (T+E),0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.25,0.25,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.25,0.125,0.25,0.25,0.625,,0.5,0.75,0.75,0.625
OrionMSP (default),0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.25,0.0,0.0,0.125,0.125,0.125,0.25,0.125,0.375,0.625,0.5,,0.625,0.75,0.75
Linear (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.125,0.0,0.25,0.0,0.0,0.0,0.125,0.25,0.0,0.125,0.25,0.125,0.625,0.25,0.375,,0.5,0.625
PerpetualBooster (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.125,0.0,0.125,0.0,0.125,0.125,0.25,0.25,0.25,0.25,0.5,,0.625
TabFlex (default),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.375,0.375,0.25,0.375,0.375,
