cik,fund_name,form,period_end,filed_date,nav_per_share,nav_basis,pik_ratio_pct,nonaccrual_pct,nonaccrual_basis,collected_date
1287750,Ares Capital Corp (ARCC),10-Q,2025-09-30,2025-10-28,20.01,single,15.5,1.8,amortized_cost,
1287750,Ares Capital Corp (ARCC),10-K,2025-12-31,2026-03-23,19.94,single,15.96,1.8,amortized_cost,
1287750,Ares Capital Corp (ARCC),10-Q,2026-03-31,2026-04-28,19.59,single,14.8,2.1,amortized_cost,
1287750,Ares Capital Corp (ARCC),10-Q,2026-06-30,2026-07-29,19.35,single,15.2,2.4,amortized_cost,2026-07-31
1422183,FS KKR Capital Corp (FSK),10-Q,2025-09-30,2025-11-05,21.99,single,14.5,2.9,fair_value,
1422183,FS KKR Capital Corp (FSK),10-K,2025-12-31,2026-02-25,20.89,single,14.7,3.4,fair_value,
1422183,FS KKR Capital Corp (FSK),10-Q,2026-03-31,2026-05-11,18.83,single,12.5,4.2,fair_value,
1422183,FS KKR Capital Corp (FSK),10-Q,2026-06-30,2026-08-06,18.3,single,13.5,3.8,fair_value,2026-08-08
1655887,Blue Owl Capital Corp II (OBDC II),10-Q,2025-09-30,2025-11-05,8.41,single,9.1,4.5,amortized_cost,
1655887,Blue Owl Capital Corp II (OBDC II),10-K,2025-12-31,2026-03-05,8.27,single,10.1,3.4,amortized_cost,
1655887,Blue Owl Capital Corp II (OBDC II),10-Q,2026-03-31,2026-05-08,5.57,single,11.8,3.9,amortized_cost,
1655887,Blue Owl Capital Corp II (OBDC II),10-Q,2026-06-30,2026-08-07,4.87,single,12.6,9.0,amortized_cost,2026-08-09
1655888,Blue Owl Capital Corp (OBDC),10-Q,2025-09-30,2025-11-05,14.89,single,9.5,3.2,amortized_cost,
1655888,Blue Owl Capital Corp (OBDC),10-K,2025-12-31,2026-02-18,14.81,single,9.9,2.7,amortized_cost,
1655888,Blue Owl Capital Corp (OBDC),10-Q,2026-03-31,2026-05-06,14.41,single,11.7,2.0,amortized_cost,
1655888,Blue Owl Capital Corp (OBDC),10-Q,2026-06-30,2026-08-05,14.26,single,11.2,2.8,amortized_cost,2026-08-07
1803498,Blackstone Private Credit Fund (BCRED),10-Q,2025-09-30,2025-11-13,24.97,class_i,6.4,0.4,amortized_cost,
1803498,Blackstone Private Credit Fund (BCRED),10-K,2025-12-31,2026-03-13,24.79,class_i,6.3,0.6,amortized_cost,
1803498,Blackstone Private Credit Fund (BCRED),10-Q,2026-03-31,2026-05-14,24.19,class_i,7.0,2.4,amortized_cost,2026-05-15
1812554,Blue Owl Credit Income Corp (OCIC),10-Q,2025-09-30,2025-11-06,9.41,class_i,5.7,1.0,amortized_cost,
1812554,Blue Owl Credit Income Corp (OCIC),10-K,2025-12-31,2026-03-03,9.34,class_i,5.9,0.6,amortized_cost,
1812554,Blue Owl Credit Income Corp (OCIC),10-Q,2026-03-31,2026-05-11,9.11,class_i,6.1,0.4,amortized_cost,
1812554,Blue Owl Credit Income Corp (OCIC),10-Q,2026-06-30,2026-08-06,9.08,class_i,6.3,0.3,amortized_cost,2026-08-08
1869453,Blue Owl Technology Income Corp (OTIC),10-Q,2025-09-30,2025-11-06,10.42,class_i,8.7,0.0,amortized_cost,
1869453,Blue Owl Technology Income Corp (OTIC),10-K,2025-12-31,2026-03-03,10.38,class_i,8.2,0.3,amortized_cost,
1869453,Blue Owl Technology Income Corp (OTIC),10-Q,2026-03-31,2026-05-11,9.82,class_i,9.2,0.4,amortized_cost,
1869453,Blue Owl Technology Income Corp (OTIC),10-Q,2026-06-30,2026-08-06,9.7,class_i,9.5,0.6,amortized_cost,2026-08-08
0001803498,Blackstone Private Credit Fund (BCRED),10-Q,2026-06-30,2026-08-12,23.65,class_i,6.3,2.2,amortized_cost,2026-08-14
