record_type,source_system,publisher,entity,title,summary,link,published_at,search_keyword,primary_hits,matched_tags,secondary_hits,language,region,summary_kr,summary_source,collected_date,llm_keywords
news,naver_news,아시아경제,"Blue Owl, Private Credit Market","한신평·무디스 “사모신용 리스크, 韓 영향 제한적”","올해 초 미국 사모대출 관련 대표 운용사인 블루아울캐피탈이 환매를 영구 중단하기로 하면서 사모신용 리스크가 대두된 가운데, 한국 자본시장에 미칠 영향을 제한적이라는 의견이 나왔다. 다만 내년부터 이어질 대출...",https://view.asiae.co.kr/article/2026082716422808432,2026-08-27 16:42:00,사모대출,사모신용,"운용사_블루아울, 유동성_환매","블루아울, 환매",ko,KR,"한신평·무디스는 사모신용 리스크의 한국 영향이 제한적이라고 보았음. 다만, 내년부터 도래할 차환 리스크 등은 점검할 필요가 있다고 했음.",body,2026-08-28,"리스크, 차환 리스크"
news,naver_news,이데일리,Private Credit Market,[마켓인]해외 사모신용 투자 55조 돌파…보험·은행 리스크 전이 살펴야,"은행은 사모대출에 직접 투자하기보다 펀드 신용공여와 서브스크립션 라인(Subscription Line), 순자산가치 기반 대출(NAV Financing), 신용위험이전(SRT) 등을 통해 간접 익스포저를 보유하고 있다. 사모신용 시장에서 부실이...",https://www.edaily.co.kr/News/Read?newsId=04418166645551584&mediaCodeNo=257&utm_source=naver&utm_medium=referral&utm_campaign=news_syndication&utm_content=original_article,2026-08-27 16:30:00,사모신용펀드,사모신용,신용부실,부실,ko,KR,"국내 금융권과 연기금의 해외 사모신용 투자 규모는 55조 9000억원에 달했음. 보험업권의 익스포저가 67.4%로 가장 크나, 전체 금융시스템 대비 부담은 제한적이라는 평가임. 개별 신용사건 중심이라 금융시스템 위기로 번질 가능성은 낮지만, 2027~2029년 만기 도래 시 차환 수요 흡수 여부는 지켜봐야 함.",body,2026-08-28,"투자, 리스크"
news,naver_news,연합뉴스,Private Credit Market,"한신평·무디스 ""사모대출 시스템 위기 제한적…국내 익스포저 55.9조""",다만 국내 금융권과 연기금의 해외 사모대출 투자 규모가 56조원에 육박한 데다 2027∼2029년 대규모 대출 만기가 예정돼 있어 차환과 인공지능(AI)·소프트웨어 관련 자산 건전성을 살펴야 한다는 지적이다....,https://www.yna.co.kr/view/AKR20260827145100008?input=1195m,2026-08-27 15:47:00,사모대출,사모대출,시장심리,위기,ko,KR,글로벌 사모신용 시장의 위험 신호에도 시스템 위기 가능성은 제한적이라는 분석이 나왔음. 다만 국내 금융권·연기금의 해외 사모대출 투자 규모가 56조원에 달하고 2027~2029년 대규모 대출 만기가 예정되어 있어 차환 및 AI 관련 자산 건전성 점검이 필요하다는 지적임.,body,2026-08-28,"유동성, 환매"
news,naver_news,헤럴드경제,Private Credit Market,美 사모대출 부실 우려에도 “하반기 사모시장 성장 지속”,"미국 사모대출펀드 부실 논란으로 사모시장이 위축될 것이라는 우려와는 달리 해당 시장의 성장세가 계속되고 있다는 진단이 나왔다. 사모시장이란 일반 대중에게 공개되지 않고 기관투자자, 고액 자산가 사이에서...",https://biz.heraldcorp.com/article/10847894?ref=naver,2026-08-21 11:15:00,사모대출,사모대출,"시장심리, 신용부실",부실,ko,KR,"미국 사모대출 부실 우려에도 블루아울캐피털은 하반기 사모시장이 성장할 것으로 전망했음. 기업 직접대출은 공모대출보다 높은 수익률을 기록했으며, AI 여파 우려와 달리 부도율은 낮아졌음. 넷리스와 데이터센터 등 실물자산 기반 성장도 예상됨.",body,2026-08-22,"사모시장, 성장, 블루아울캐피털"
news,naver_news,한국경제,"Blue Owl, Private Credit Market",블루아울 “사모신용 여전히 매력적…넷리스·데이터센터 주목”,"글로벌 대체투자 자산운용사 블루아울캐피털이 올 하반기 사모신용과 실물자산을 중심으로 사모시장의 구조적 성장세가 이어질 것으로 전망했다. 직접대출은 공모대출보다 높은 수익률을 유지하고 있고, 상업용...",https://www.hankyung.com/article/202608201464r,2026-08-20 13:22:00,사모대출,사모신용,운용사_블루아울,블루아울,ko,KR,블루아울은 올 하반기 사모신용과 실물자산 시장이 계속 성장할 것으로 전망했음. 특히 넷리스와 데이터센터 분야에 주목할 필요가 있다고 밝혔음.,rss_summary,2026-08-21,"Blue Owl, 데이터센터"
news,naver_news,아시아경제,"Blue Owl, Private Credit Market","불확실성에도 성장하는 사모신용…블루아울, 하반기 전망 '맑음'",기관급 사모신용 플랫폼의 규모와 분산 효과는 스트레스 국면에서 완충 역할을 할 수 있다는 설명이다. 블루아울은 직접대출 시장의 장기적인 성장 추세가 견고할 것으로 전망했다. 인수합병(M&A) 시장 불확실성으로...,https://view.asiae.co.kr/article/2026082012111521766,2026-08-20 12:11:00,사모대출,사모신용,운용사_블루아울,블루아울,ko,KR,"블루아울캐피털은 거시경제 불확실성에도 사모신용 시장의 투자 매력이 유지되고 있다고 진단했음. 인수합병(M&A) 둔화에도 직접대출 시장의 장기 성장 궤도는 견고하며, 자산기반금융(ABF) 등이 투자 기회를 제공할 것으로 전망했음.",body,2026-08-21,"블루아울, 직접대출"
news,naver_news,매일경제,Private Credit Market,글로벌 사모대출 '경고등'… 부실대출 9년來 최대,이자체납·채무불이행 늘어나 부실 확산에 운용자산도 감소 2조달러 규모로 급성장한 글로벌 사모대출시장에 경고음이 커지고 있다. 대형 사모대출 가운데 부실 비중이 약 9년 만에 가장 높은 수준으로 치솟은 데다...,https://www.mk.co.kr/article/12130449,2026-08-18 17:52:00,사모대출,사모대출,신용부실,부실,ko,KR,"글로벌 사모대출 시장에서 부실대출 비중이 9년 만에 최대치를 기록하며 디폴트 규모도 사상 최고치를 찍었음. 저금리 시기 대출이 금리 인상 부담을 맞으며 발생했으며, 운용사 자산 감소 및 환매 중단 사태까지 이어지고 있음.",body,2026-08-19,"부실대출, 디폴트"
news,naver_news,아시아경제,Private Credit Market,"FT ""부실대출 증가에 사모대출 위험 커졌다…2017년 이후 최고""",사모대출 시장의 부실 위험 대출 규모가 2017년 이후 최고 수준으로 늘어난 것으로 나타났다. 대형 운용사들이 잇따라 손실을 반영하고 문제 대출 증가를 경고하면서 시장 건전성 우려가 확산하고 있다. 다만 일부...,https://view.asiae.co.kr/article/2026081810125068336,2026-08-18 11:41:00,사모대출,사모대출,"시장심리, 신용부실","부실, 손실",ko,KR,"사모대출 시장의 부실 위험 대출 규모가 2017년 이후 최고 수준으로 늘어났음. 일부 운용사는 우려가 과도하다고 반박했으나, 저금리 시기 투자분의 부실화 우려가 커지고 있음.",body,2026-08-19,"부실대출, 신용리스크"
news,naver_news,뉴시스,Private Credit Market,사모대출 부실 확산에 몸 사리는 월가…대출 줄이고 자산 매각,"미국 사모대출(Private Credit, 은행이 아닌 투자자가 직접 자금을 빌려주는 구조) 시장의 부실이 확산하면서 대형 운용사들이 대출을 줄이고 자산을 매각하는 등 방어적인 움직임에 나서고 있다. 특히 제로금리 시기인...",https://www.newsis.com/view/NISX20260818_0003752049,2026-08-18 10:09:00,사모대출,사모대출,신용부실,부실,ko,KR,"사모대출 시장 부실 확산으로 월가 대형 운용사들이 대출을 줄이고 자산을 매각하는 방어적 움직임을 보이고 있음. 특히 제로금리 시기인 2020~2021년 투자가 부실화하며 손실이 커지고 있으며, 디폴트율은 사상 최고치를 기록했음.",body,2026-08-19,"디폴트, 자산매각"
news,naver_news,연합뉴스,"Blackstone, Blue Owl, Private Credit Market","블랙스톤·블루아울, 사모신용 펀드 채권발행 재개",사모신용은 은행이 아닌 자산운용사나 투자사 등 비은행 금융사가 기업 등에 직접 제공하는 대출을 말한다. 글로벌 금융위기 이후 은행에 대한 건전성 규제가 강화되면서 은행에서 충분한 자금을 조달하기 어려운...,https://www.yna.co.kr/view/AKR20260818001800072?input=1195m,2026-08-18 02:04:00,사모대출,사모신용,"시장심리, 운용사_블랙스톤, 운용사_블루아울","블루아울, 블랙스톤, 위기",ko,KR,블랙스톤과 블루아울이 채권 발행을 재개하며 사모신용 펀드의 자금 조달이 다시 늘어나는 모습임. 투자자 불안 완화에 따른 결과로 분석됨.,body,2026-08-18,"블랙스톤, 블루아울, 채권 발행"
