Framework,Standardized Rule No,Contextual Title,Atomic Statutory Content
BSRA,BSRA Section 1,"1. Short title and introduction. (1) This Act may be called the Bangladesh Ship Recycling Act, 2018.","1. Short title and introduction. (1) This Act may be called the Bangladesh Ship Recycling Act, 2018."
BSRA,BSRA Section 1(2),"1. Short title and introduction. (1) This Act may be called the Bangladesh Ship Recycling Act, 2018.",(2) This Act shall come into force at once.
BSRA,BSRA Section 2,"2. Definition- In this Act, unless there is anything repugnant in the subject or context,","2. Definition- In this Act, unless there is anything repugnant in the subject or context,"
BSRA,BSRA Section 2(1),"2. Definition- In this Act, unless there is anything repugnant in the subject or context,","(1) ""no-objection certificate"" means a no-objection certificate issued by the Board under sub-section (2) of section 6;"""
BSRA,BSRA Section 2(2),"2. Definition- In this Act, unless there is anything repugnant in the subject or context,","(2) ""permission"" means the permission granted by the Government under sub-section (1) of section 5"
BSRA,BSRA Section 2(3),"2. Definition- In this Act, unless there is anything repugnant in the subject or context,","(3) ""yard"" ""means any land in the zone allotted for the use of ship recycling;"""
BSRA,BSRA Section 2(4),"2. Definition- In this Act, unless there is anything repugnant in the subject or context,","(4) ""Chairman"" ""means the Chairman of the Board;"""
BSRA,BSRA Section 2(5),"2. Definition- In this Act, unless there is anything repugnant in the subject or context,","(5) ""clearance"" ""means the clearance granted by the Board under sub-section (5) of section 6;"""
BSRA,BSRA Section 2(6),"2. Definition- In this Act, unless there is anything repugnant in the subject or context,","(6) ""ship recycling "" ""means the removal and management of disassembled and disassembled parts of a ship;"""
BSRA,BSRA Section 2(7),"2. Definition- In this Act, unless there is anything repugnant in the subject or context,","(7) ""Ship Recycling Plan"" means a plan formulated in accordance with the prescribed guidelines or rules for ship recycling, to be prepared in both English and Bengali languages."
BSRA,BSRA Section 2(8),"2. Definition- In this Act, unless there is anything repugnant in the subject or context,","(8) ""ship recycling facility plan"" ""means a plan for the use of yard or other facilities for ship recycling;"" [Glossary Mapping: SRF = Ship Recycling Facility | SRFP = Ship Recycling Facility Plan]"
BSRA,BSRA Section 2(9),"2. Definition- In this Act, unless there is anything repugnant in the subject or context,","(9) ""zone"" ""means any zone declared by the Government under section 4;"""
BSRA,BSRA Section 2(10),"2. Definition- In this Act, unless there is anything repugnant in the subject or context,","(10) ""Fund"" ""means the Fund of the Board;"""
BSRA,BSRA Section 2(11),"2. Definition- In this Act, unless there is anything repugnant in the subject or context,","(11) ""regulation"" ""means a regulation made under the Act;"""
BSRA,BSRA Section 2(12),"2. Definition- In this Act, unless there is anything repugnant in the subject or context,","(12) ""Code of Criminal Procedure"" ""means the Code of Criminal Procedure, 1898 (Act No."" V of 1898)."
BSRA,BSRA Section 2(13),"2. Definition- In this Act, unless there is anything repugnant in the subject or context,","(13) ""rules"" ""means rules made under this Act;"""
BSRA,BSRA Section 2(14),"2. Definition- In this Act, unless there is anything repugnant in the subject or context,","(14) ""Board"" ""means the Bangladesh Ship Recycling Board established under section 8;"""
BSRA,BSRA Section 2(15),"2. Definition- In this Act, unless there is anything repugnant in the subject or context,","(15) ""Director-General"" ""means the Director-General of the Board;"""
BSRA,BSRA Section 2(16),"2. Definition- In this Act, unless there is anything repugnant in the subject or context,","(16) ""Member"" ""means a member of the Board; and"""
BSRA,BSRA Section 2(17),"2. Definition- In this Act, unless there is anything repugnant in the subject or context,","(17) ""beaching"" ""means bringing a ship to the seabed of a yard for the purpose of recycling."""
BSRA,BSRA Section 3,3. Authorities under the Act-,"3. Authorities under the Act- CHAPTER II Zone declaration, etc."
BSRA,BSRA Section 3(1),3. Authorities under the Act-,"(1). The Government hereby appoints the eBangladesh Ship Recycling Boardf as the eCompetent Authorityf, to execute duties related to ship recycling facilities operating within the territories of Bangladesh as determined."
BSRA,BSRA Section 3(2),3. Authorities under the Act-,"(2). The Competent Authority shall identify a single contact point in the rank of Joint Secretary to act as central communicating partner between the Competent Authority, Administrations and Ship Recycling Facilities."
BSRA,BSRA Section 3(3),3. Authorities under the Act-,"(3) Notwithstanding anything contained in any other law for the time being in force, the provisions of this Act shall have effect as the governing law in respect of matters relating to ship recycling. In the event of any inconsistency, the provisions of this Act shall prevail over the provisions of any other laws."
BSRA,BSRA Section 4,"4. Zone declaration: (1) The Government may, in such manner as may be prescribed by it, by notification in the official","4. Zone declaration: (1) The Government may, in such manner as may be prescribed by it, by notification in the official Gazette, declare and extend any suitable area as a zone for the purpose of confining ship recycling activities to a specified area."
BSRA,BSRA Section 4(2),"4. Zone declaration: (1) The Government may, in such manner as may be prescribed by it, by notification in the official","(2) The Government may, for the purpose of declaring and extending the zone, acquire land and grant lease in such manner as may be prescribed by rules for establishing a yard therein."
BSRA,BSRA Section 5,"5. Setting up the yard -(1) Any person or institution may, with the permission of the Government, establish a yard in an","5. Setting up the yard -(1) Any person or institution may, with the permission of the Government, establish a yard in any zone"
BSRA,BSRA Section 5(2),"5. Setting up the yard -(1) Any person or institution may, with the permission of the Government, establish a yard in an",(2) No yard shall be established or any similar establishment shall be constructed for the purpose in any area outside the zone.
BSRA,BSRA Section 5(3),"5. Setting up the yard -(1) Any person or institution may, with the permission of the Government, establish a yard in an","(3) Permission shall be obtained, within the time prescribed by the Government, for the yards established within the declared zone before the coming into force of this Act."
BSRA,BSRA Section 5(4),"5. Setting up the yard -(1) Any person or institution may, with the permission of the Government, establish a yard in an","(4) Unless permission is obtained under sub-section (3), the activities in the said yard shall not be carried on and the property situated therein shall be forfeited."
BSRA,BSRA Section 5(5),"5. Setting up the yard -(1) Any person or institution may, with the permission of the Government, establish a yard in an","(5) The conditions, manner and fee for grant of permission to establish a yard under sub-section (1) shall be determined by the Board."
BSRA,BSRA Section 6,6. Ship Recycling -(1) Vessels imported or locally collected in a yard may be recycled.,6. Ship Recycling -(1) Vessels imported or locally collected in a yard may be recycled.
BSRA,BSRA Section 6(2),6. Ship Recycling -(1) Vessels imported or locally collected in a yard may be recycled.,(2) No-objection certificate of the Board shall be obtained before importing or locally procuring a ship under sub-section (1).
BSRA,BSRA Section 6(3),6. Ship Recycling -(1) Vessels imported or locally collected in a yard may be recycled.,"(3) After importing or, as the case may be, procuring any vessel under sub-section (1), an employee authorized by the Board shall inspect the vessel for grant of clearance for beaching and division."
BSRA,BSRA Section 6(4),6. Ship Recycling -(1) Vessels imported or locally collected in a yard may be recycled.,"(4) After inspection under sub-section (3), a ship shall be subjected to beaching, recycling and other ancillary activities."
BSRA,BSRA Section 6(5),6. Ship Recycling -(1) Vessels imported or locally collected in a yard may be recycled.,"(5) No ship-sailing, recycling and ancillary activities shall be carried out under sub-section (4) without obtaining clearance from the Board."
BSRA,BSRA Section 6(6),6. Ship Recycling -(1) Vessels imported or locally collected in a yard may be recycled.,"(6) Matters relating to grant of no-objection certificate, inspection, beach-building and ship recycling, grant of clearance and fee under this section shall be determined by rules."
BSRA,BSRA Section 6(7),6. Ship Recycling -(1) Vessels imported or locally collected in a yard may be recycled.,(7) The Government and the yard owners may take necessary measures to introduce other environmentally friendly methods as an alternative to beach cleaning for ship recycling.
BSRA,BSRA Section 6(8),6. Ship Recycling -(1) Vessels imported or locally collected in a yard may be recycled.,"(8) The Board may, in accordance with the type and size of the vessel imported or collected for recycling, specify the period of division or cutting of the vessel in such manner as may be prescribed by rules."
BSRA,BSRA Section 6(9),6. Ship Recycling -(1) Vessels imported or locally collected in a yard may be recycled.,"(9) If the cutting of the ship is not completed within the period specified under the Rules referred to in sub-section (8), the Board may, upon objective assessment and being satisfied with the grounds, extend the deadline for completion of such cutting. If the yard fails to comply with the extended deadline, the Board may impose a fine as may be prescribed by the Rules, after affording the yard an opportunity of being heard."
BSRA,BSRA Section 6(10),6. Ship Recycling -(1) Vessels imported or locally collected in a yard may be recycled.,(10) All vendors involved in ship recycling shall obtain licence from the Board subject to payment of fee as prescribed by rules.
BSRA,BSRA Section 7,7. The preservation of international standards- (1) The Board shall ensure compliance with the international laws and co,7. The preservation of international standards- (1) The Board shall ensure compliance with the international laws and conventions relating to the ship reprocessing industry in carrying out ship reprocessing activities. CHAPTER III Bangladesh Ship Recycling Board
BSRA,BSRA Section 7(2),7. The preservation of international standards- (1) The Board shall ensure compliance with the international laws and co,"(2) In order to comply with the conditions of The Hong Kong International Convention for the Safe and Environmentally Sound Recycling of Ships, 2009, the Government shall take effective measures to acquire the necessary capacity within a maximum period of 5 (five) years from the commencement of this Act."
BSRA,BSRA Section 7(3),7. The preservation of international standards- (1) The Board shall ensure compliance with the international laws and co,"(3) The Board may, for this purpose, prepare guidelines or, from time to time, issue directives in the light of the provisions of international law and conventions."
BSRA,BSRA Section 8,"8. Establishment of Board: (1) After the commencement of this Act, the Government shall, as soon as may be, by notificat","8. Establishment of Board: (1) After the commencement of this Act, the Government shall, as soon as may be, by notification in the Official Gazette, establish a Board to be called the Bangladesh Ship Recycling Board."
BSRA,BSRA Section 8(2),"8. Establishment of Board: (1) After the commencement of this Act, the Government shall, as soon as may be, by notificat","(2) The Board shall be a body corporate and shall have perpetual succession and a common seal and shall, subject to the provisions of this Act, have power to acquire, hold and transfer property, both movable and immovable, and the Board may sue and be sued in its own name."
BSRA,BSRA Section 9,9. The Office of the Board- (1) The principal office of the Board shall be established in the divisional city of Chattog,9. The Office of the Board- (1) The principal office of the Board shall be established in the divisional city of Chattogram.
BSRA,BSRA Section 9(2),9. The Office of the Board- (1) The principal office of the Board shall be established in the divisional city of Chattog,"(2) The Board may, if necessary, with the prior approval of the Government, establish its branch office at any place in Bangladesh."
BSRA,BSRA Section 10,"10. Formation of the Board- The Board shall consist of not less than twelve (12) and not more than sixteen (16) members,","10. Formation of the Board- The Board shall consist of not less than twelve (12) and not more than sixteen (16) members, to be appointed by the Ministry of Industries in the following manner: (e ) A person shall be disqualified from appointment or continuation as a member of the Board if he— (a) has been removed or dismissed from government service, local authority, or a government-owned or controlled corporation; (b) has been convicted and sentenced to imprisonment for an offence deemed by the Government to involve moral turpitude; (c) is an undischarged insolvent; or (d) has any direct or indirect share or interest in any work executed by order of the Board or in any contract or employment with, by, or on behalf of the Board. (f ) Provided that no individual shall be considered to own a stake or interest in such contract, or employment solely due to his—"
