fc_name,rated_power_w,voltage_v,num_cells,mass_g,dimensions_mm,power_w,efficiency_pct,confidence,source
G-HFCS 600W 24V,600,24,40,3255,145x162x170,0,85,"LOW - approximate chart-read (axis eyeball, not tabulated data) -- re-verify against original PDF chart before final use",Mastersheet FP Team B - FC selection.pdf
G-HFCS 600W 24V,600,24,40,3255,145x162x170,200,75,LOW - approximate chart-read,Mastersheet FP Team B - FC selection.pdf
G-HFCS 600W 24V,600,24,40,3255,145x162x170,400,65,LOW - approximate chart-read,Mastersheet FP Team B - FC selection.pdf
G-HFCS 600W 24V,600,24,40,3255,145x162x170,600,58,LOW - approximate chart-read,Mastersheet FP Team B - FC selection.pdf
G-HFCS 600W 24V,600,24,40,3255,145x162x170,800,52,LOW - approximate chart-read,Mastersheet FP Team B - FC selection.pdf
Senza Hydrogen Fuel Cell Stack,500,,48,2000,117x102x195,0,80,"LOW - approximate chart-read (axis eyeball, not tabulated data) -- re-verify against original PDF chart before final use",Mastersheet FP Team B - FC selection.pdf
Senza Hydrogen Fuel Cell Stack,500,,48,2000,117x102x195,150,70,LOW - approximate chart-read,Mastersheet FP Team B - FC selection.pdf
Senza Hydrogen Fuel Cell Stack,500,,48,2000,117x102x195,300,62,LOW - approximate chart-read,Mastersheet FP Team B - FC selection.pdf
Senza Hydrogen Fuel Cell Stack,500,,48,2000,117x102x195,450,55,LOW - approximate chart-read,Mastersheet FP Team B - FC selection.pdf
Senza Hydrogen Fuel Cell Stack,500,,48,2000,117x102x195,550,50,LOW - approximate chart-read,Mastersheet FP Team B - FC selection.pdf
SZFC-1000,1000,,60,4715,145x162x241,0,81,"MEDIUM - chart-read from SZFC-1000 efficiency curve (fc efficiency curve.pdf); cross-validated against the chart's own flowrate curve to <1% via H2 NCV energy balance; stays within datasheet 30-56V range","SZFC-1000.pdf + fc efficiency curve.pdf"
SZFC-1000,1000,,60,4715,145x162x241,300,66,"MEDIUM - chart-read from SZFC-1000 efficiency curve (fc efficiency curve.pdf); cross-validated against the chart's own flowrate curve to <1% via H2 NCV energy balance; stays within datasheet 30-56V range","SZFC-1000.pdf + fc efficiency curve.pdf"
SZFC-1000,1000,,60,4715,145x162x241,560,62,"MEDIUM - chart-read from SZFC-1000 efficiency curve (fc efficiency curve.pdf); cross-validated against the chart's own flowrate curve to <1% via H2 NCV energy balance; stays within datasheet 30-56V range","SZFC-1000.pdf + fc efficiency curve.pdf"
SZFC-1000,1000,,60,4715,145x162x241,800,59,"MEDIUM - chart-read from SZFC-1000 efficiency curve (fc efficiency curve.pdf); cross-validated against the chart's own flowrate curve to <1% via H2 NCV energy balance; stays within datasheet 30-56V range","SZFC-1000.pdf + fc efficiency curve.pdf"
SZFC-1000,1000,,60,4715,145x162x241,1000,56,"MEDIUM - chart-read from SZFC-1000 efficiency curve (fc efficiency curve.pdf); cross-validated against the chart's own flowrate curve to <1% via H2 NCV energy balance; stays within datasheet 30-56V range","SZFC-1000.pdf + fc efficiency curve.pdf"
SZFC-1000,1000,,60,4715,145x162x241,1200,53,"MEDIUM - chart-read from SZFC-1000 efficiency curve (fc efficiency curve.pdf); cross-validated against the chart's own flowrate curve to <1% via H2 NCV energy balance; stays within datasheet 30-56V range","SZFC-1000.pdf + fc efficiency curve.pdf"
SZFC-1000,1000,,60,4715,145x162x241,1376.4,45.1,"CALCULATED - efficiency at max current (37.2A) from datasheet stated H2 consumption (17 L/min) via NCV/density; consistent with datasheet >40 percent spec. Power chart-extrapolated (~37V at 37.2A).",SZFC-1000.pdf
