record_type	source_system	publisher	entity	title	summary	link	published_at	search_keyword	primary_hits	matched_tags	secondary_hits	language	region	title_kr	summary_kr	summary_source
news	google_rss	Bloomberg.com	Private Credit Industry	Watch Stifel CEO Sees Liquidity Mismatch in Private Credit - Bloomberg.com	Watch Stifel CEO Sees Liquidity Mismatch in Private Credit Bloomberg.com	https://www.bloomberg.com/news/videos/2026-04-23/stifel-ceo-sees-liquidity-mismatch-in-private-credit-video	2026-04-23 0:00	private credit	private credit	Liquidity_Redemption	liquidity	en	US	스티펠 CEO, 사모 신용의 유동성 불일치 지적	론 크루셰프스키 스티펠 CEO가 사모 신용 자산의 주된 문제가 기초 자산의 질보다는 유동성 불일치에 있다고 강조함.	partial_body
news	google_rss	CNBC	Blackstone, Private Credit Industry	Blackstone President Jon Gray on Q1 results, AI boom and state of private credit - CNBC	Blackstone President Jon Gray on Q1 results, AI boom and state of private credit CNBC	https://www.cnbc.com/video/2026/04/23/blackstone-president-jon-gray-on-q1-results-ai-boom-and-state-of-private-credit.html	2026-04-23 12:36	private credit	private credit	Captial_Blackstone	Blackstone	en	US	블랙스톤 존 그레이 사장, 1분기 실적과 AI 붐 및 사모 신용 현황 논의	Jon Gray 는 최근 사모신용 우려를 시장 노이즈로 평가하며 포트폴리오 건전성을 강조. 일부 환매 압력은 인정했지만 기관 수요는 여전히 강하다고 주장	partial_body
news	google_rss	Reuters	Blackstone, Private Credit Industry	Blackstone defends private credit as assets swell past $1.3 trillion - Reuters	Blackstone defends private credit as assets swell past $1.3 trillion Reuters	https://www.reuters.com/legal/transactional/blackstones-first-quarter-profit-gets-boost-investment-gains-2026-04-23/	2026-04-23 17:29	private credit	private credit	Captial_Blackstone	Blackstone	en	US	블랙스톤, 자산 1.3조 달러 돌파 속 사모신용 옹호	Blackstone 의 1분기 실적은 투자이익 덕분에 개선됐지만 private credit 부문 성장 둔화가 부각됨. 금리 인하와 연체 증가로 floating-rate 대출 수익성이 약화됐다는 평	title_only
news	google_rss	Bloomberg.com	Private Credit Industry	KKR, Capital Group to Start Public-Private Credit Fund in Asia - Bloomberg.com	KKR, Capital Group to Start Public-Private Credit Fund in Asia Bloomberg.com	https://www.bloomberg.com/news/articles/2026-04-24/kkr-capital-group-to-start-public-private-credit-fund-in-asia	2026-04-24 4:46	private credit	private credit, private credit fund	Liquidity_Redemption	cap	en	US	KKR-캐피털 그룹, 아시아 지역 공공-민간 신용 펀드 출시	KKR와 캐피털 그룹이 리테일 자금 유치를 위해 올해 하반기 아시아 공공-민간 신용 펀드를 출시할 계획임. 지난해 미국 내 유사 펀드는 5억 달러 이상을 유치했음.	body
news	google_rss	WSJ	Private Credit Industry	Financial Watchdog in Europe Seeks Info on Private Credit Ratings - WSJ	Financial Watchdog in Europe Seeks Info on Private Credit Ratings WSJ	https://www.wsj.com/livecoverage/stock-market-today-dow-sp-500-nasdaq-04-24-2026/card/financial-watchdog-in-europe-seeks-info-on-private-credit-ratings-pKEJ8u6BRwYQr9UHkUxT	2026-04-24 8:21	private credit	private credit	Credit_Risk	rating	en	US	유럽 금융감독기구, 사적 신용등급 관련 정보 요청 - WSJ	유럽 감독당국이 사모신용 자산의 신용평가 방식과 valuation 프로세스를 조사하기 시작. 비유동 자산의 가격 산정 및 리스크 과소평가 가능성을 우려	title_only
news	google_rss	Bloomberg.com	Private Credit Industry	Watch Private Credit Risks Are Misunderstood: Ketchum - Bloomberg.com	Watch Private Credit Risks Are Misunderstood: Ketchum Bloomberg.com	https://www.bloomberg.com/news/videos/2026-04-27/private-credit-risks-are-misunderstood-ketchum-video	2026-04-27 0:00	private credit	private credit	Credit_Risk	credit risk	en	US	사모 신용 리스크에 대한 오해: 스티브 케첨	업계 관계자는 사모신용 리스크가 과장되고 있다고 주장하며 은행 대비 낮은 레버리지를 강조. 다만 투자자들이 유동성 제한 구조를 충분히 이해하지 못했다는 점은 인정.	partial_body
news	google_rss	Financial Times	Private Credit Industry	Should private credit be stressing out insurers? - Financial Times	Should private credit be stressing out insurers? Financial Times	https://www.ft.com/content/62ccb51a-bb8c-4a9c-b5c8-1c68f0fc1b6c	2026-04-27 11:05	private credit	private credit	Credit_Risk	stress	en	US	사모신용이 보험사에 부담이 되고 있는가	사모신용 시장이 급성장하면서 shadow banking 시스템 리스크 논쟁이 확대. AI 소프트웨어 업종 익스포저와 valuation 불확실성이 주요 우려로 언급됨	body
news	google_rss	Reuters	Private Credit Industry	Short sellers' bets on life insurance stocks soar as private credit concerns grow - Reuters	Short sellers' bets on life insurance stocks soar as private credit concerns grow Reuters	https://www.reuters.com/legal/government/short-sellers-bets-life-insurance-stocks-soar-private-credit-concerns-grow-2026-04-27/	2026-04-27 14:19	private credit	private credit	Market_Sentiment	concern, concerns	en	US	사모신용 우려 증가로 생명보험주 공매도 베팅 급증	공매도 세력이 사모신용 익스포저가 큰 보험사들을 집중 타깃으로 삼기 시작. 보험사의 private credit 투자 손실 가능성과 유동성 우려가 배경.	title_only
news	google_rss	MarketWatch	Private Credit Industry	Opinion: Private credit isn't safer than banks — it's just better at hiding losses - MarketWatch	Opinion: Private credit isn't safer than banks — it's just better at hiding losses MarketWatch	https://www.marketwatch.com/story/private-credit-isnt-safer-than-banks-its-just-better-at-hiding-losses-84937515	2026-04-27 16:17	private credit	private credit	Credit_Risk	loss	en	US	오피니언: 사모신용은 은행보다 안전하지 않으며 손실을 더 잘 숨길 뿐이다	사모신용은 은행보다 안전한 것이 아니라 손실이 늦게 드러나는 구조라는 비판 제기. 비상장 자산 특성상 가격 발견(price discovery)이 제한된다고 지적.	title_only
news	google_rss	Reuters	Private Credit Industry	Exclusive: Weinstein's Saba Capital to raise $1 billion to buy souring private credit funds - Reuters	Exclusive: Weinstein's Saba Capital to raise $1 billion to buy souring private credit funds Reuters	https://www.reuters.com/business/weinsteins-saba-capital-raise-new-fund-sources-say-2026-04-27/	2026-04-27 21:03	private credit	private credit, private credit fund, private credit funds	Liquidity_Redemption	cap	en	US	와인스타인의 사바 캐피털, 부실 사모 신용 펀드 매입 위해 10억 달러 조달	Saba Capital 이 private credit 관련 투자 기회를 노린 신규 펀드 조성 추진. 할인 거래 및 환매 압박 상황을 투자 기회로 보고 있다는 해석	title_only
