,EXAONE-Tabular (default),TabFM (default),TabPFN-3 (default),TabPFN-2.6 (default),TabICLv2 (default),ChimeraBoost (T+E),ModernNCA (T+E),iLTM (T+E),RealMLP (T+E),XGBoost (T+E),RealTabPFN-2.5 (T+E),TabM (T+E),CatBoost (T+E),LightGBM (T+E),TabICL (default),TabSwift (default),TorchMLP (T+E),xRFM (T+E),EBM (T+E),TabDPT (T+E),TabDPT-Turbo (default),FastaiMLP (T+E),BetaTabPFN (default),RandomForest (T+E),SAP-RPT-OSS (default),ExtraTrees (T+E),LimiX (default),TabSTAR (T+E),Linear (T+E),KNN (T+E),OrionMSP (default),PerpetualBooster (T+E),TabFlex (default)
RealTabPFN-2.5 (T+E),0.0,0.11111111,0.33333334,0.33333334,0.22222222,0.5555556,0.33333334,0.44444445,0.5555556,0.5555556,,0.44444445,0.6666667,0.5555556,0.7777778,0.8888889,0.6666667,0.6666667,0.8888889,0.7777778,0.7777778,0.7777778,1.0,0.8888889,0.8888889,1.0,0.6666667,1.0,0.8888889,0.8888889,1.0,1.0,1.0
TabM (T+E),0.0,0.0,0.22222222,0.22222222,0.44444445,0.44444445,0.44444445,0.44444445,0.5555556,0.33333334,0.5555556,,0.5555556,0.7777778,0.6666667,0.7777778,0.6666667,0.5555556,1.0,0.7777778,0.8888889,0.8888889,0.8888889,1.0,0.8888889,0.8888889,0.7777778,1.0,1.0,0.8888889,1.0,1.0,1.0
CatBoost (T+E),0.11111111,0.22222222,0.33333334,0.33333334,0.33333334,0.5555556,0.44444445,0.44444445,0.44444445,0.33333334,0.33333334,0.44444445,,0.44444445,0.6666667,0.6666667,0.7777778,0.8888889,0.6666667,0.6666667,0.6666667,0.8888889,0.7777778,1.0,1.0,1.0,0.7777778,1.0,1.0,1.0,1.0,1.0,1.0
LightGBM (T+E),0.0,0.11111111,0.22222222,0.11111111,0.22222222,0.33333334,0.44444445,0.5555556,0.44444445,0.33333334,0.44444445,0.22222222,0.5555556,,0.5555556,0.5555556,0.6666667,0.6666667,0.7777778,0.5555556,0.7777778,0.7777778,0.7777778,1.0,0.8888889,1.0,0.7777778,1.0,1.0,0.8888889,1.0,1.0,1.0
TabICL (default),0.0,0.22222222,0.22222222,0.11111111,0.22222222,0.22222222,0.22222222,0.33333334,0.44444445,0.33333334,0.22222222,0.33333334,0.33333334,0.44444445,,0.44444445,0.6666667,0.5555556,0.5555556,0.8888889,0.7777778,0.6666667,0.6666667,0.8888889,0.7777778,0.7777778,0.7777778,1.0,0.7777778,0.8888889,1.0,1.0,1.0
TabSwift (default),0.0,0.22222222,0.11111111,0.22222222,0.22222222,0.44444445,0.33333334,0.33333334,0.33333334,0.44444445,0.11111111,0.22222222,0.33333334,0.44444445,0.5555556,,0.44444445,0.6666667,0.5555556,0.5555556,0.44444445,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,0.7777778,0.7777778,0.6666667,0.7777778,1.0,1.0,1.0
TorchMLP (T+E),0.0,0.11111111,0.33333334,0.22222222,0.22222222,0.22222222,0.22222222,0.11111111,0.11111111,0.11111111,0.33333334,0.33333334,0.22222222,0.33333334,0.33333334,0.5555556,,0.5555556,0.5555556,0.33333334,0.44444445,0.5555556,0.5555556,0.8888889,0.8888889,0.8888889,0.6666667,1.0,1.0,1.0,1.0,1.0,1.0
xRFM (T+E),0.0,0.11111111,0.22222222,0.33333334,0.33333334,0.0,0.11111111,0.11111111,0.22222222,0.33333334,0.33333334,0.44444445,0.11111111,0.33333334,0.44444445,0.33333334,0.44444445,,0.5555556,0.44444445,0.44444445,0.6666667,0.6666667,0.7777778,0.7777778,0.7777778,0.7777778,0.8888889,1.0,1.0,1.0,0.8888889,1.0
EBM (T+E),0.0,0.0,0.11111111,0.0,0.22222222,0.0,0.11111111,0.22222222,0.22222222,0.11111111,0.11111111,0.0,0.33333334,0.22222222,0.44444445,0.44444445,0.44444445,0.44444445,,0.5555556,0.44444445,0.6666667,0.7777778,0.6666667,0.8888889,0.6666667,0.6666667,1.0,0.8888889,0.8888889,0.8888889,0.8888889,1.0
TabDPT (T+E),0.0,0.11111111,0.11111111,0.0,0.11111111,0.11111111,0.0,0.33333334,0.22222222,0.22222222,0.22222222,0.22222222,0.33333334,0.44444445,0.11111111,0.44444445,0.6666667,0.5555556,0.44444445,,0.6666667,0.5555556,0.5555556,0.6666667,0.6666667,0.6666667,0.6666667,0.7777778,0.7777778,0.8888889,0.8888889,1.0,0.8888889
TabDPT-Turbo (default),0.0,0.0,0.0,0.0,0.0,0.33333334,0.22222222,0.33333334,0.22222222,0.33333334,0.22222222,0.11111111,0.33333334,0.22222222,0.22222222,0.5555556,0.5555556,0.5555556,0.5555556,0.33333334,,0.5555556,0.5555556,0.6666667,0.6666667,0.6666667,0.8888889,0.7777778,0.6666667,0.7777778,0.8888889,1.0,0.8888889
FastaiMLP (T+E),0.0,0.11111111,0.11111111,0.11111111,0.11111111,0.11111111,0.0,0.11111111,0.0,0.22222222,0.22222222,0.11111111,0.11111111,0.22222222,0.33333334,0.33333334,0.44444445,0.33333334,0.33333334,0.44444445,0.44444445,,0.44444445,0.6666667,0.7777778,0.6666667,0.6666667,0.7777778,0.8888889,0.8888889,0.7777778,0.8888889,0.8888889
BetaTabPFN (default),0.0,0.0,0.0,0.11111111,0.0,0.0,0.11111111,0.22222222,0.22222222,0.22222222,0.0,0.11111111,0.22222222,0.22222222,0.33333334,0.33333334,0.44444445,0.33333334,0.22222222,0.44444445,0.44444445,0.5555556,,0.44444445,0.7777778,0.5555556,0.6666667,0.8888889,0.6666667,0.8888889,0.8888889,0.8888889,1.0
RandomForest (T+E),0.0,0.0,0.11111111,0.0,0.0,0.0,0.11111111,0.0,0.0,0.0,0.11111111,0.0,0.0,0.0,0.11111111,0.33333334,0.11111111,0.22222222,0.33333334,0.33333334,0.33333334,0.33333334,0.5555556,,0.6666667,0.5555556,0.6666667,1.0,0.7777778,0.8888889,0.8888889,0.8888889,1.0
SAP-RPT-OSS (default),0.0,0.11111111,0.11111111,0.11111111,0.11111111,0.0,0.11111111,0.0,0.0,0.0,0.11111111,0.11111111,0.0,0.11111111,0.22222222,0.33333334,0.11111111,0.22222222,0.11111111,0.33333334,0.33333334,0.22222222,0.22222222,0.33333334,,0.5555556,0.6666667,0.7777778,0.7777778,1.0,0.7777778,0.8888889,1.0
ExtraTrees (T+E),0.0,0.0,0.11111111,0.0,0.0,0.0,0.11111111,0.11111111,0.0,0.0,0.0,0.11111111,0.0,0.0,0.22222222,0.33333334,0.11111111,0.22222222,0.33333334,0.33333334,0.33333334,0.33333334,0.44444445,0.44444445,0.44444445,,0.6666667,0.7777778,0.6666667,0.7777778,1.0,0.7777778,1.0
LimiX (default),0.0,0.11111111,0.11111111,0.11111111,0.11111111,0.22222222,0.11111111,0.11111111,0.11111111,0.33333334,0.33333334,0.22222222,0.22222222,0.22222222,0.22222222,0.22222222,0.33333334,0.22222222,0.33333334,0.33333334,0.11111111,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,,0.44444445,0.6666667,0.6666667,0.5555556,0.6666667,0.6666667
TabSTAR (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.11111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22222222,0.0,0.11111111,0.0,0.22222222,0.22222222,0.22222222,0.11111111,0.0,0.22222222,0.22222222,0.5555556,,0.5555556,0.5555556,0.6666667,0.7777778,1.0
Linear (T+E),0.0,0.0,0.11111111,0.0,0.11111111,0.0,0.11111111,0.0,0.0,0.0,0.11111111,0.0,0.0,0.0,0.22222222,0.33333334,0.0,0.0,0.11111111,0.22222222,0.33333334,0.11111111,0.33333334,0.22222222,0.22222222,0.33333334,0.33333334,0.44444445,,0.22222222,0.5555556,0.5555556,0.6666667
KNN (T+E),0.0,0.11111111,0.11111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111111,0.11111111,0.0,0.11111111,0.11111111,0.22222222,0.0,0.0,0.11111111,0.11111111,0.22222222,0.11111111,0.11111111,0.11111111,0.0,0.22222222,0.33333334,0.44444445,0.7777778,,0.5555556,0.6666667,0.7777778
OrionMSP (default),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111111,0.11111111,0.11111111,0.22222222,0.11111111,0.11111111,0.22222222,0.0,0.44444445,0.33333334,0.44444445,0.44444445,,0.44444445,0.6666667
PerpetualBooster (T+E),0.0,0.0,0.0,0.0,0.0,0.11111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111111,0.11111111,0.0,0.0,0.11111111,0.11111111,0.11111111,0.11111111,0.22222222,0.33333334,0.22222222,0.44444445,0.33333334,0.5555556,,0.5555556
TabFlex (default),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111111,0.11111111,0.11111111,0.0,0.0,0.0,0.0,0.33333334,0.0,0.33333334,0.22222222,0.33333334,0.44444445,
