,TabFM+,TabFM (default),EXAONE-Tabular (default),"AutoGluon 1.6 (noncommercial, 4h)",RealTabPFN-2.5 (T+E),"AutoGluon 1.5 (extreme, 4h)","AutoGluon 1.6 (extreme, 4h)",TabPFN-2.6 (default),TabPFN-3 (default),TabICLv2 (default),RealMLP (T+E),TabPFNv2 (T+E),TabM (T+E),LimiX (default),"AutoGluon 1.4 (best, 4h)",CatBoost (T+E),Mitra (default),xRFM (T+E),TabDPT (T+E),LightGBM (T+E),SAP-RPT-OSS (default),TabDPT-Turbo (default),XGBoost (T+E),ExtraTrees (T+E),BetaTabPFN (default),ModernNCA (T+E),EBM (T+E),TabICL (default),iLTM (T+E),RandomForest (T+E),ChimeraBoost (T+E),FastaiMLP (T+E),TorchMLP (T+E),TabSwift (default),KNN (T+E),TabSTAR (T+E),OrionMSP (default),Linear (T+E),PerpetualBooster (T+E),TabFlex (default)
TabFM+,,0.5714286,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,1.0,1.0,1.0,1.0,1.0,0.85714287,1.0,0.85714287,1.0,1.0,0.85714287,0.85714287,0.85714287,0.85714287,1.0,1.0,0.85714287,1.0,1.0,1.0,1.0,1.0,0.85714287,1.0,1.0,1.0,1.0,0.85714287,1.0,1.0,1.0,1.0,1.0
TabFM (default),0.42857143,,0.85714287,0.85714287,0.71428573,0.85714287,0.85714287,0.85714287,0.85714287,1.0,0.85714287,1.0,0.85714287,0.85714287,0.85714287,0.85714287,1.0,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,1.0,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,1.0,1.0,1.0
EXAONE-Tabular (default),0.14285715,0.14285715,,0.71428573,0.71428573,0.71428573,0.71428573,0.85714287,0.85714287,0.71428573,0.85714287,1.0,0.71428573,0.85714287,0.85714287,1.0,0.85714287,0.85714287,0.71428573,0.85714287,0.85714287,0.85714287,1.0,0.85714287,1.0,1.0,1.0,0.85714287,1.0,0.85714287,1.0,1.0,1.0,1.0,0.85714287,1.0,1.0,1.0,1.0,1.0
"AutoGluon 1.6 (noncommercial, 4h)",0.14285715,0.14285715,0.2857143,,0.5714286,0.42857143,0.78571427,0.71428573,0.85714287,0.85714287,0.85714287,0.5714286,0.71428573,0.85714287,1.0,0.85714287,1.0,0.85714287,1.0,1.0,0.71428573,1.0,1.0,0.85714287,0.85714287,1.0,0.85714287,1.0,1.0,0.85714287,1.0,1.0,1.0,1.0,0.85714287,1.0,1.0,1.0,1.0,1.0
RealTabPFN-2.5 (T+E),0.14285715,0.2857143,0.2857143,0.42857143,,0.71428573,0.42857143,0.71428573,0.5714286,0.71428573,0.85714287,1.0,0.71428573,0.85714287,0.71428573,1.0,0.85714287,0.85714287,0.71428573,0.85714287,1.0,0.85714287,1.0,0.85714287,0.85714287,1.0,0.85714287,0.85714287,1.0,0.85714287,1.0,1.0,0.85714287,1.0,0.85714287,1.0,1.0,1.0,1.0,1.0
"AutoGluon 1.5 (extreme, 4h)",0.14285715,0.14285715,0.2857143,0.5714286,0.2857143,,0.5714286,0.5714286,0.71428573,0.71428573,0.85714287,0.71428573,0.85714287,1.0,0.85714287,0.71428573,1.0,0.85714287,0.85714287,0.85714287,0.71428573,0.85714287,1.0,0.85714287,0.85714287,1.0,0.85714287,0.85714287,1.0,1.0,1.0,0.85714287,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"AutoGluon 1.6 (extreme, 4h)",0.14285715,0.14285715,0.2857143,0.21428572,0.5714286,0.42857143,,0.71428573,0.71428573,0.71428573,0.71428573,0.5714286,0.5714286,0.85714287,1.0,0.85714287,0.85714287,0.71428573,0.85714287,1.0,0.71428573,1.0,1.0,0.71428573,0.85714287,1.0,0.85714287,1.0,1.0,0.85714287,1.0,1.0,1.0,1.0,0.85714287,1.0,1.0,1.0,1.0,1.0
TabPFN-2.6 (default),0.0,0.14285715,0.14285715,0.2857143,0.2857143,0.42857143,0.2857143,,0.5714286,0.42857143,0.85714287,0.85714287,0.71428573,0.85714287,0.5714286,0.85714287,1.0,0.85714287,0.71428573,0.85714287,0.71428573,0.85714287,1.0,0.85714287,0.71428573,1.0,0.71428573,0.71428573,1.0,0.71428573,1.0,1.0,0.85714287,1.0,0.85714287,1.0,1.0,1.0,1.0,1.0
TabPFN-3 (default),0.0,0.14285715,0.14285715,0.14285715,0.42857143,0.2857143,0.2857143,0.42857143,,0.71428573,0.5714286,0.71428573,0.5714286,0.71428573,0.42857143,0.5714286,0.71428573,0.71428573,0.71428573,0.71428573,0.5714286,0.85714287,0.85714287,0.85714287,0.71428573,1.0,0.71428573,1.0,1.0,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,1.0,1.0,1.0,1.0,1.0
TabICLv2 (default),0.0,0.0,0.2857143,0.14285715,0.2857143,0.2857143,0.2857143,0.5714286,0.2857143,,0.5714286,0.5714286,0.5714286,0.71428573,0.71428573,0.5714286,0.71428573,0.5714286,0.71428573,0.85714287,0.42857143,0.85714287,0.71428573,0.71428573,0.71428573,0.85714287,0.71428573,1.0,0.85714287,0.71428573,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,1.0,1.0,0.85714287
RealMLP (T+E),0.0,0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.2857143,0.14285715,0.42857143,0.42857143,,0.42857143,0.71428573,0.42857143,0.5714286,0.71428573,0.42857143,0.5714286,0.5714286,0.71428573,0.5714286,0.5714286,1.0,0.5714286,0.71428573,0.85714287,0.85714287,0.71428573,0.85714287,0.5714286,1.0,0.85714287,0.85714287,0.85714287,0.85714287,1.0,1.0,1.0,1.0,1.0
TabPFNv2 (T+E),0.0,0.0,0.0,0.42857143,0.0,0.2857143,0.42857143,0.14285715,0.2857143,0.42857143,0.5714286,,0.71428573,0.42857143,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.42857143,0.5714286,0.85714287,0.71428573,0.71428573,0.71428573,0.71428573,0.5714286,0.71428573,0.5714286,0.85714287,0.71428573,0.85714287,0.85714287,0.71428573,0.85714287,0.85714287,1.0,1.0,0.85714287
TabM (T+E),0.14285715,0.14285715,0.2857143,0.2857143,0.2857143,0.14285715,0.42857143,0.2857143,0.42857143,0.42857143,0.2857143,0.2857143,,0.2857143,0.5714286,0.2857143,0.42857143,0.42857143,0.71428573,0.5714286,0.5714286,0.71428573,0.71428573,0.5714286,0.85714287,0.71428573,1.0,0.71428573,0.5714286,0.71428573,0.71428573,0.71428573,0.85714287,0.71428573,0.85714287,1.0,1.0,1.0,1.0,1.0
LimiX (default),0.0,0.14285715,0.14285715,0.14285715,0.14285715,0.0,0.14285715,0.14285715,0.2857143,0.2857143,0.5714286,0.5714286,0.71428573,,0.42857143,0.5714286,0.42857143,0.71428573,0.42857143,0.5714286,0.5714286,0.5714286,0.71428573,0.85714287,0.71428573,0.71428573,0.71428573,0.71428573,0.5714286,0.85714287,0.71428573,0.71428573,0.71428573,0.71428573,0.85714287,1.0,1.0,1.0,1.0,1.0
"AutoGluon 1.4 (best, 4h)",0.14285715,0.14285715,0.14285715,0.0,0.2857143,0.14285715,0.0,0.42857143,0.5714286,0.2857143,0.42857143,0.2857143,0.42857143,0.5714286,,0.5714286,0.42857143,0.5714286,0.42857143,0.71428573,0.5714286,0.5714286,0.71428573,0.5714286,0.71428573,0.5714286,0.71428573,0.5714286,0.71428573,0.5714286,0.85714287,1.0,0.85714287,0.71428573,0.71428573,0.85714287,0.85714287,1.0,1.0,1.0
CatBoost (T+E),0.0,0.14285715,0.0,0.14285715,0.0,0.2857143,0.14285715,0.14285715,0.42857143,0.42857143,0.2857143,0.2857143,0.71428573,0.42857143,0.42857143,,0.5714286,0.5714286,0.71428573,0.42857143,0.42857143,0.5714286,0.71428573,0.71428573,0.5714286,0.85714287,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.85714287,0.85714287,0.71428573,1.0,1.0,1.0,1.0,1.0
Mitra (default),0.0,0.0,0.14285715,0.0,0.14285715,0.0,0.14285715,0.0,0.2857143,0.2857143,0.5714286,0.2857143,0.5714286,0.5714286,0.5714286,0.42857143,,0.71428573,0.5714286,0.71428573,0.2857143,0.5714286,0.85714287,0.71428573,0.71428573,0.85714287,0.71428573,0.64285713,0.85714287,0.71428573,0.85714287,0.71428573,0.71428573,0.85714287,0.85714287,0.85714287,0.85714287,1.0,1.0,0.85714287
xRFM (T+E),0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.2857143,0.14285715,0.2857143,0.42857143,0.42857143,0.2857143,0.5714286,0.2857143,0.42857143,0.42857143,0.2857143,,0.5714286,0.5714286,0.42857143,0.71428573,0.5714286,0.71428573,0.5714286,0.71428573,0.5714286,0.71428573,0.5714286,0.71428573,0.85714287,0.5714286,0.71428573,0.85714287,1.0,0.85714287,1.0,1.0,1.0,1.0
TabDPT (T+E),0.14285715,0.14285715,0.2857143,0.0,0.2857143,0.14285715,0.14285715,0.2857143,0.2857143,0.2857143,0.42857143,0.2857143,0.2857143,0.5714286,0.5714286,0.2857143,0.42857143,0.42857143,,0.5714286,0.42857143,0.42857143,0.71428573,0.5714286,0.71428573,0.71428573,0.71428573,0.71428573,0.85714287,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.85714287,0.85714287,1.0,0.85714287,0.85714287,1.0
LightGBM (T+E),0.14285715,0.14285715,0.14285715,0.0,0.14285715,0.14285715,0.0,0.14285715,0.2857143,0.14285715,0.2857143,0.2857143,0.42857143,0.42857143,0.2857143,0.5714286,0.2857143,0.42857143,0.42857143,,0.5714286,0.71428573,0.42857143,0.5714286,0.85714287,0.42857143,0.85714287,0.5714286,0.5714286,0.71428573,0.85714287,0.71428573,0.85714287,0.85714287,0.71428573,0.85714287,1.0,1.0,1.0,1.0
SAP-RPT-OSS (default),0.14285715,0.14285715,0.14285715,0.2857143,0.0,0.2857143,0.2857143,0.2857143,0.42857143,0.5714286,0.42857143,0.5714286,0.42857143,0.42857143,0.42857143,0.5714286,0.71428573,0.5714286,0.5714286,0.42857143,,0.5714286,0.5714286,0.5714286,0.5714286,0.5714286,0.42857143,0.71428573,0.5714286,0.5714286,0.5714286,0.5714286,0.71428573,0.5714286,0.5714286,0.71428573,0.5714286,0.85714287,0.85714287,0.85714287
TabDPT-Turbo (default),0.0,0.14285715,0.14285715,0.0,0.14285715,0.14285715,0.0,0.14285715,0.14285715,0.14285715,0.42857143,0.42857143,0.2857143,0.42857143,0.42857143,0.42857143,0.42857143,0.2857143,0.5714286,0.2857143,0.42857143,,0.5714286,0.5714286,0.42857143,0.5714286,0.5714286,0.5714286,0.71428573,0.71428573,0.42857143,0.5714286,0.71428573,1.0,0.85714287,0.71428573,1.0,0.85714287,0.85714287,1.0
XGBoost (T+E),0.0,0.14285715,0.0,0.0,0.0,0.0,0.0,0.0,0.14285715,0.2857143,0.0,0.14285715,0.2857143,0.2857143,0.2857143,0.2857143,0.14285715,0.42857143,0.2857143,0.5714286,0.42857143,0.42857143,,0.5714286,0.5714286,0.71428573,0.71428573,0.71428573,0.71428573,0.5714286,0.71428573,0.5714286,0.71428573,0.71428573,0.71428573,1.0,1.0,1.0,1.0,1.0
ExtraTrees (T+E),0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.2857143,0.14285715,0.14285715,0.2857143,0.42857143,0.2857143,0.42857143,0.14285715,0.42857143,0.2857143,0.2857143,0.2857143,0.42857143,0.42857143,0.42857143,0.42857143,0.42857143,,0.5714286,0.2857143,0.42857143,0.42857143,0.2857143,0.85714287,0.5714286,0.42857143,0.42857143,0.71428573,1.0,0.85714287,1.0,0.71428573,0.85714287,1.0
BetaTabPFN (default),0.0,0.14285715,0.0,0.14285715,0.14285715,0.14285715,0.14285715,0.2857143,0.2857143,0.2857143,0.2857143,0.2857143,0.14285715,0.2857143,0.2857143,0.42857143,0.2857143,0.42857143,0.2857143,0.14285715,0.42857143,0.5714286,0.42857143,0.42857143,,0.42857143,0.5714286,0.42857143,0.5714286,0.5714286,0.5714286,0.5714286,0.71428573,0.5714286,0.71428573,0.85714287,0.85714287,1.0,1.0,1.0
ModernNCA (T+E),0.0,0.14285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285715,0.14285715,0.2857143,0.2857143,0.2857143,0.42857143,0.14285715,0.14285715,0.2857143,0.2857143,0.5714286,0.42857143,0.42857143,0.2857143,0.71428573,0.5714286,,0.5714286,0.71428573,0.5714286,0.71428573,0.5714286,0.71428573,0.5714286,0.5714286,0.85714287,0.85714287,1.0,1.0,1.0,1.0
EBM (T+E),0.0,0.14285715,0.0,0.14285715,0.14285715,0.14285715,0.14285715,0.2857143,0.2857143,0.2857143,0.14285715,0.2857143,0.0,0.2857143,0.2857143,0.2857143,0.2857143,0.42857143,0.2857143,0.14285715,0.5714286,0.42857143,0.2857143,0.5714286,0.42857143,0.42857143,,0.42857143,0.42857143,0.5714286,0.42857143,0.5714286,0.42857143,0.5714286,0.71428573,0.85714287,0.71428573,1.0,1.0,1.0
TabICL (default),0.0,0.0,0.14285715,0.0,0.14285715,0.14285715,0.0,0.2857143,0.0,0.0,0.2857143,0.42857143,0.2857143,0.2857143,0.42857143,0.2857143,0.35714287,0.2857143,0.2857143,0.42857143,0.2857143,0.42857143,0.2857143,0.5714286,0.5714286,0.2857143,0.5714286,,0.5714286,0.5714286,0.42857143,0.42857143,0.42857143,0.71428573,0.85714287,0.71428573,0.85714287,0.85714287,1.0,0.85714287
iLTM (T+E),0.0,0.14285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285715,0.14285715,0.2857143,0.42857143,0.42857143,0.2857143,0.2857143,0.14285715,0.42857143,0.14285715,0.42857143,0.42857143,0.2857143,0.2857143,0.71428573,0.42857143,0.42857143,0.5714286,0.42857143,,0.71428573,0.42857143,0.71428573,0.5714286,0.5714286,0.85714287,0.85714287,0.85714287,0.85714287,1.0,1.0
RandomForest (T+E),0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.0,0.14285715,0.2857143,0.14285715,0.2857143,0.42857143,0.42857143,0.2857143,0.14285715,0.42857143,0.2857143,0.2857143,0.2857143,0.2857143,0.2857143,0.42857143,0.2857143,0.42857143,0.14285715,0.42857143,0.2857143,0.42857143,0.42857143,0.2857143,,0.5714286,0.42857143,0.42857143,0.5714286,0.85714287,0.85714287,0.85714287,0.71428573,0.85714287,0.85714287
ChimeraBoost (T+E),0.0,0.14285715,0.0,0.0,0.0,0.0,0.0,0.0,0.14285715,0.14285715,0.0,0.14285715,0.2857143,0.2857143,0.14285715,0.2857143,0.14285715,0.14285715,0.2857143,0.14285715,0.42857143,0.5714286,0.2857143,0.42857143,0.42857143,0.42857143,0.5714286,0.5714286,0.5714286,0.42857143,,0.42857143,0.71428573,0.5714286,0.5714286,0.85714287,1.0,1.0,0.85714287,1.0
FastaiMLP (T+E),0.0,0.14285715,0.0,0.0,0.0,0.14285715,0.0,0.0,0.14285715,0.14285715,0.14285715,0.2857143,0.2857143,0.2857143,0.0,0.2857143,0.2857143,0.42857143,0.2857143,0.2857143,0.42857143,0.42857143,0.42857143,0.5714286,0.42857143,0.2857143,0.42857143,0.5714286,0.2857143,0.5714286,0.5714286,,0.42857143,0.42857143,0.5714286,0.85714287,0.71428573,0.85714287,0.71428573,1.0
TorchMLP (T+E),0.0,0.14285715,0.0,0.0,0.14285715,0.0,0.0,0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.2857143,0.14285715,0.14285715,0.2857143,0.2857143,0.2857143,0.14285715,0.2857143,0.2857143,0.2857143,0.5714286,0.2857143,0.42857143,0.5714286,0.5714286,0.42857143,0.5714286,0.2857143,0.5714286,,0.5714286,0.71428573,0.85714287,0.71428573,0.85714287,0.85714287,1.0
TabSwift (default),0.0,0.14285715,0.0,0.0,0.0,0.0,0.0,0.0,0.14285715,0.14285715,0.14285715,0.14285715,0.2857143,0.2857143,0.2857143,0.14285715,0.14285715,0.14285715,0.2857143,0.14285715,0.42857143,0.0,0.2857143,0.2857143,0.42857143,0.42857143,0.42857143,0.2857143,0.42857143,0.42857143,0.42857143,0.5714286,0.42857143,,0.71428573,0.71428573,0.85714287,0.71428573,0.85714287,1.0
KNN (T+E),0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.0,0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.2857143,0.14285715,0.14285715,0.2857143,0.2857143,0.14285715,0.0,0.14285715,0.2857143,0.42857143,0.14285715,0.2857143,0.0,0.2857143,0.14285715,0.2857143,0.14285715,0.14285715,0.14285715,0.42857143,0.42857143,0.2857143,0.2857143,,0.42857143,0.42857143,0.42857143,0.85714287,0.5714286
