,EXAONE-Tabular (default),TabFM (default),RealTabPFN-2.5 (T+E),TabPFN-2.6 (default),TabPFN-3 (default),TabICLv2 (default),RealMLP (T+E),LimiX (default),TabPFNv2 (T+E),TabM (T+E),Mitra (default),CatBoost (T+E),xRFM (T+E),TabDPT (T+E),LightGBM (T+E),SAP-RPT-OSS (default),TabDPT-Turbo (default),XGBoost (T+E),BetaTabPFN (default),ModernNCA (T+E),ExtraTrees (T+E),iLTM (T+E),EBM (T+E),TabICL (default),RandomForest (T+E),FastaiMLP (T+E),TorchMLP (T+E),TabSwift (default),ChimeraBoost (T+E),KNN (T+E),TabSTAR (T+E),OrionMSP (default),Linear (T+E),PerpetualBooster (T+E),TabFlex (default)
EXAONE-Tabular (default),,0.2857143,0.71428573,0.85714287,0.85714287,0.71428573,0.85714287,0.85714287,1.0,0.71428573,0.85714287,1.0,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,1.0,1.0,1.0,0.85714287,1.0,0.85714287,0.85714287,0.85714287,1.0,1.0,1.0,1.0,0.85714287,1.0,1.0,1.0,1.0,1.0
TabFM (default),0.71428573,,0.71428573,0.85714287,0.85714287,1.0,0.85714287,0.85714287,1.0,0.85714287,1.0,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,1.0,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,1.0,1.0,1.0
RealTabPFN-2.5 (T+E),0.2857143,0.2857143,,0.71428573,0.5714286,0.71428573,0.85714287,0.85714287,1.0,0.71428573,0.85714287,1.0,0.85714287,0.71428573,0.85714287,1.0,0.85714287,1.0,0.85714287,1.0,0.85714287,1.0,0.85714287,0.85714287,0.85714287,1.0,0.85714287,1.0,0.85714287,0.85714287,1.0,1.0,1.0,1.0,1.0
TabPFN-2.6 (default),0.14285715,0.14285715,0.2857143,,0.5714286,0.42857143,0.85714287,0.85714287,0.85714287,0.71428573,1.0,0.85714287,0.85714287,0.71428573,0.85714287,0.71428573,0.85714287,1.0,0.71428573,1.0,0.85714287,1.0,0.71428573,0.71428573,0.71428573,1.0,0.85714287,1.0,0.85714287,0.85714287,1.0,1.0,1.0,1.0,1.0
TabPFN-3 (default),0.14285715,0.14285715,0.42857143,0.42857143,,0.71428573,0.5714286,0.71428573,0.71428573,0.5714286,0.71428573,0.5714286,0.71428573,0.71428573,0.71428573,0.5714286,0.85714287,0.85714287,0.71428573,1.0,0.85714287,1.0,0.71428573,1.0,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,1.0,1.0,1.0,1.0,1.0
TabICLv2 (default),0.2857143,0.0,0.2857143,0.5714286,0.2857143,,0.5714286,0.71428573,0.5714286,0.5714286,0.71428573,0.5714286,0.5714286,0.71428573,0.85714287,0.42857143,0.85714287,0.71428573,0.71428573,0.85714287,0.71428573,0.85714287,0.71428573,1.0,0.71428573,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,1.0,1.0,0.85714287
RealMLP (T+E),0.14285715,0.14285715,0.14285715,0.14285715,0.42857143,0.42857143,,0.42857143,0.42857143,0.71428573,0.42857143,0.71428573,0.5714286,0.5714286,0.71428573,0.5714286,0.5714286,1.0,0.71428573,0.85714287,0.5714286,0.85714287,0.85714287,0.71428573,0.5714286,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,1.0,1.0,1.0,1.0,1.0
LimiX (default),0.14285715,0.14285715,0.14285715,0.14285715,0.2857143,0.2857143,0.5714286,,0.5714286,0.71428573,0.42857143,0.5714286,0.71428573,0.42857143,0.5714286,0.5714286,0.5714286,0.71428573,0.71428573,0.71428573,0.85714287,0.5714286,0.71428573,0.71428573,0.85714287,0.71428573,0.71428573,0.71428573,0.85714287,0.85714287,1.0,1.0,1.0,1.0,1.0
TabPFNv2 (T+E),0.0,0.0,0.0,0.14285715,0.2857143,0.42857143,0.5714286,0.42857143,,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.42857143,0.5714286,0.85714287,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.5714286,0.5714286,0.71428573,0.85714287,0.85714287,0.85714287,0.71428573,0.85714287,0.85714287,1.0,1.0,0.85714287
TabM (T+E),0.2857143,0.14285715,0.2857143,0.2857143,0.42857143,0.42857143,0.2857143,0.2857143,0.2857143,,0.42857143,0.2857143,0.42857143,0.71428573,0.5714286,0.5714286,0.71428573,0.71428573,0.85714287,0.71428573,0.5714286,0.5714286,1.0,0.71428573,0.71428573,0.71428573,0.85714287,0.71428573,0.71428573,0.85714287,1.0,1.0,1.0,1.0,1.0
Mitra (default),0.14285715,0.0,0.14285715,0.0,0.2857143,0.2857143,0.5714286,0.5714286,0.2857143,0.5714286,,0.42857143,0.71428573,0.5714286,0.71428573,0.2857143,0.5714286,0.85714287,0.71428573,0.85714287,0.71428573,0.85714287,0.71428573,0.64285713,0.71428573,0.71428573,0.71428573,0.85714287,0.85714287,0.85714287,0.85714287,0.85714287,1.0,1.0,0.85714287
